id,event,climate_action_plan_21_slp,start,stop
AK,0,0.0745862097589693,0.0,26.0
AK,0,0.1930548771882386,26.0,27.0
AK,0,0.2036155822252165,27.0,28.0
AK,1,0.224811177168732,28.0,29.0
AL,0,0.0599626914691299,0.0,26.0
AL,0,0.0871441902619967,26.0,27.0
AL,0,0.0873541797866397,27.0,28.0
AL,0,0.1089660620891937,28.0,29.0
AL,0,0.1646103539945136,29.0,30.0
AL,0,0.4351328137313035,30.0,31.0
AL,0,0.5112055602207978,31.0,32.0
AL,0,0.5213293836270159,32.0,33.0
AL,0,0.5244497176100325,33.0,34.0
AL,0,0.5537428305992048,34.0,41.0
AR,0,0.0958008506107445,0.0,26.0
AR,0,0.1895838575050018,26.0,27.0
AR,0,0.2020318110567881,27.0,28.0
AR,1,0.2462094867131855,28.0,29.0
AZ,0,0.0592199711114719,0.0,26.0
AZ,1,0.0889767116459975,26.0,27.0
CA,0,0.0412221521753005,0.0,26.0
CA,0,0.1664448986147586,26.0,27.0
CA,0,0.1698073031767275,27.0,28.0
CA,1,0.2067297866009957,28.0,29.0
CO,0,0.1202329603791531,0.0,26.0
CO,0,0.1822450515050285,26.0,27.0
CO,1,0.1827901835856152,27.0,28.0
CT,1,0.2030527009619658,0.0,26.0
DE,0,0.0355470817864793,0.0,20.0
DE,1,0.0357904788487831,20.0,21.0
FL,0,0.0648352907303838,0.0,26.0
FL,0,0.0993723467317622,26.0,27.0
FL,0,0.1072256509057832,27.0,28.0
FL,1,0.1300368879944009,28.0,29.0
GA,0,0.1054472266737209,0.0,26.0
GA,0,0.2147672680507348,26.0,27.0
GA,0,0.2253396072491835,27.0,28.0
GA,0,0.2401496708438009,28.0,29.0
GA,0,0.3944686029546473,29.0,30.0
GA,0,0.6855006767227141,30.0,31.0
GA,0,0.7060343653179955,31.0,32.0
GA,0,0.7280431052186053,32.0,33.0
GA,0,0.7293240703395556,33.0,34.0
GA,0,0.7396746965698596,34.0,41.0
HI,1,0.0389798323720788,0.0,19.0
IA,0,0.0895575441119364,0.0,26.0
IA,0,0.1740290084089049,26.0,27.0
IA,0,0.1805254754857299,27.0,28.0
IA,1,0.1909210822987702,28.0,29.0
ID,0,0.1086829662328692,0.0,26.0
ID,0,0.1816777158669397,26.0,27.0
ID,0,0.1884262924725228,27.0,28.0
ID,0,0.2143491117057543,28.0,29.0
ID,0,0.2566743228113596,29.0,30.0
ID,0,0.5295974279388747,30.0,31.0
ID,0,0.5578523160983283,31.0,32.0
ID,0,0.5890080790633262,32.0,33.0
ID,0,0.6226611403927853,33.0,34.0
ID,0,0.6555357437021301,34.0,41.0
IL,1,0.0,0.0,15.0
IN,0,0.0837621603592751,0.0,26.0
IN,0,0.1218863478568699,26.0,27.0
IN,0,0.2107231167212202,27.0,28.0
IN,0,0.2229003304371139,28.0,29.0
