id,event,environment_publicbenefit_f_slp,start,stop
AK,0,0.0,0.0,18.0
AK,0,0.019566926676569,18.0,19.0
AK,0,0.1198138440156753,19.0,20.0
AK,0,0.1198138440156753,20.0,21.0
AK,0,0.3411864266918347,21.0,22.0
AK,0,0.3638552660318443,22.0,23.0
AK,0,0.3786101205565191,23.0,30.0
AK,0,0.3887647048504109,30.0,31.0
AK,0,0.4306330221615229,31.0,32.0
AK,0,0.4636151549370111,32.0,40.0
AK,0,0.4955735268007112,40.0,41.0
AL,0,0.0,0.0,18.0
AL,0,0.0357681832004527,18.0,19.0
AL,0,0.1400081742900673,19.0,20.0
AL,0,0.1400081742900673,20.0,21.0
AL,0,0.2099485817708717,21.0,22.0
AL,0,0.2860213282603661,22.0,23.0
AL,0,0.2973077652979776,23.0,30.0
AL,0,0.2990207021544124,30.0,31.0
AL,0,0.3255461471973386,31.0,32.0
AL,0,0.3282523520488967,32.0,40.0
AL,0,0.3306770049790172,40.0,41.0
AR,0,0.0,0.0,18.0
AR,0,0.0767925434499616,18.0,19.0
AR,0,0.1505281533760153,19.0,20.0
AR,0,0.1505281533760153,20.0,21.0
AR,0,0.3522860692164207,21.0,22.0
AR,0,0.3657031603261487,22.0,23.0
AR,0,0.3827830509120933,23.0,30.0
AR,0,0.3870477477543336,30.0,31.0
AR,0,0.4249932709363131,31.0,32.0
AR,0,0.4412999531009791,32.0,40.0
AR,0,0.4695537971617798,40.0,41.0
AZ,0,0.0,0.0,18.0
AZ,0,0.0362926170934424,18.0,19.0
AZ,0,0.0860388473865892,19.0,20.0
AZ,0,0.0860388473865892,20.0,21.0
AZ,0,0.1788786647870828,21.0,22.0
AZ,0,0.1895586607751623,22.0,23.0
AZ,0,0.2443557272929687,23.0,30.0
AZ,0,0.3424225538696191,30.0,31.0
AZ,0,0.3623446418571939,31.0,32.0
AZ,0,0.398581073912143,32.0,40.0
AZ,0,0.4128629426650142,40.0,41.0
CA,1,0.0,0.0,17.0
CO,0,0.0,0.0,18.0
CO,0,0.0659184475486807,18.0,19.0
CO,0,0.1545811335323094,19.0,20.0
CO,0,0.1545811335323094,20.0,21.0
CO,0,0.3049423493720517,21.0,22.0
CO,0,0.3141394621617975,22.0,23.0
CO,0,0.3341821212258792,23.0,30.0
CO,0,0.3540025940447869,30.0,31.0
CO,0,0.3734246378704871,31.0,32.0
CO,1,0.3951228548830904,32.0,40.0
CT,0,0.0,0.0,18.0
CT,0,0.1100827442643227,18.0,19.0
CT,1,0.2398420743090005,19.0,20.0
DE,0,0.0,0.0,18.0
DE,0,0.0397145125748814,18.0,19.0
DE,1,0.1797164090757911,19.0,20.0
FL,0,0.0,0.0,18.0
FL,0,0.0882047542444837,18.0,19.0
FL,0,0.1347133770834768,19.0,20.0
FL,0,0.1347133770834768,20.0,21.0
FL,0,0.3051909094143528,21.0,22.0
FL,0,0.3258393053538382,22.0,23.0
FL,0,0.3287516642590814,23.0,30.0
FL,0,0.3436006079601871,30.0,31.0
FL,0,0.3756923823091794,31.0,32.0
FL,0,0.4237734728220277,32.0,40.0
FL,0,0.428830418446364,40.0,41.0
GA,0,0.0,0.0,18.0
GA,0,0.0586181922976356,18.0,19.0
GA,0,0.2182253818565154,19.0,20.0
GA,0,0.2182253818565154,20.0,21.0
GA,0,0.3785469391369186,21.0,22.0
GA,0,0.3990806277321999,22.0,23.0
GA,0,0.4118982974473734,23.0,30.0
GA,0,0.4501821414391542,30.0,31.0
GA,0,0.5113356129791997,31.0,32.0
GA,0,0.5428981464473742,32.0,40.0
GA,0,0.5468432709651697,40.0,41.0
HI,0,0.0,0.0,18.0
HI,0,0.0551661085517192,18.0,19.0
HI,0,0.1413248976588199,19.0,20.0
HI,0,0.1413248976588199,20.0,21.0
HI,0,0.2797753466935633,21.0,22.0
HI,0,0.3168841270533674,22.0,23.0
HI,1,0.3668754274051116,23.0,30.0
IA,0,0.0,0.0,18.0
IA,0,0.0429946567219974,18.0,19.0
IA,0,0.1819393728894447,19.0,20.0
IA,0,0.1819393728894447,20.0,21.0
IA,0,0.3223455894078154,21.0,22.0
IA,0,0.3452677988648899,22.0,23.0
IA,0,0.3474970325769894,23.0,30.0
IA,0,0.3709503671855237,30.0,31.0
IA,0,0.3710097221991687,31.0,32.0
IA,0,0.3997134993672951,32.0,40.0
IA,0,0.4594531386434216,40.0,41.0
ID,0,0.0,0.0,18.0
ID,0,0.0620491362451402,18.0,19.0
ID,0,0.194163023198566,19.0,20.0
ID,0,0.194163023198566,20.0,21.0
ID,0,0.3710014020348501,21.0,22.0
ID,0,0.3992562901943038,22.0,23.0
ID,0,0.4116499941856052,23.0,30.0
ID,0,0.4120741477626806,30.0,31.0
ID,0,0.4203304805238146,31.0,32.0
ID,0,0.4239536027775824,32.0,40.0
ID,0,0.4252473660164929,40.0,41.0
IL,1,0.0,0.0,18.0
IN,0,0.0,0.0,18.0
IN,0,0.0072527300337134,18.0,19.0
IN,0,0.0890350128201059,19.0,20.0
IN,0,0.0890350128201059,20.0,21.0
IN,0,0.3622365488853285,21.0,22.0
IN,0,0.3818748849464943,22.0,23.0
IN,0,0.3880843395534732,23.0,30.0
IN,0,0.3965166440624795,30.0,31.0
IN,0,0.3998432599103774,31.0,32.0
IN,0,0.4051550643911937,32.0,40.0
IN,0,0.4251804117314658,40.0,41.0
KS,0,0.0,0.0,18.0
KS,0,0.0323590721195733,18.0,19.0
KS,0,0.139029280714867,19.0,20.0
KS,0,0.139029280714867,20.0,21.0
KS,0,0.2397141644225958,21.0,22.0
KS,0,0.2896202880167609,22.0,23.0
KS,0,0.3152749265096946,23.0,30.0
KS,0,0.3252077689582117,30.0,31.0
KS,0,0.3322268704051455,31.0,32.0
KS,0,0.3424136210791774,32.0,40.0
KS,0,0.3957435702593762,40.0,41.0
KY,0,0.0,0.0,18.0
KY,0,0.1477725644293753,18.0,19.0
KY,0,0.2616463383256194,19.0,20.0
