id,event,environment_utility_deregul_slp,start,stop
AK,0,0.0,0.0,18.0
AK,0,0.0109203872109192,18.0,19.0
AK,0,0.102403628407121,19.0,20.0
AK,0,0.1461569856008794,20.0,21.0
AK,0,0.1868511604730742,21.0,22.0
AK,0,0.2431111250725786,22.0,23.0
AK,0,0.2806072485798885,23.0,41.0
AL,0,0.0,0.0,18.0
AL,0,0.05878197112549,18.0,19.0
AL,0,0.1160077211094448,19.0,20.0
AL,0,0.1930516442501887,20.0,21.0
AL,0,0.2126826578358905,21.0,22.0
AL,0,0.2377111068328141,22.0,23.0
AL,0,0.2751528927565962,23.0,41.0
AR,0,0.0,0.0,18.0
AR,0,0.0165819450275902,18.0,19.0
AR,0,0.1313546493701252,19.0,20.0
AR,0,0.1764709999462626,20.0,21.0
AR,0,0.2245933922364381,21.0,22.0
AR,0,0.2365437571099881,22.0,23.0
AR,0,0.2732512463459228,23.0,41.0
AZ,0,0.0,0.0,18.0
AZ,0,0.0258474242204464,18.0,19.0
AZ,0,0.0418077591940553,19.0,20.0
AZ,0,0.0878181622418836,20.0,21.0
AZ,0,0.2414910733271822,21.0,22.0
AZ,0,0.25092646236589,22.0,23.0
AZ,0,0.2690594868674778,23.0,41.0
CA,0,0.0,0.0,18.0
CA,0,0.0964988411165062,18.0,19.0
CA,0,0.2152036954910922,19.0,20.0
CA,0,0.305264107351454,20.0,21.0
CA,0,0.3429922921995547,21.0,22.0
CA,0,0.3796885825975081,22.0,23.0
CA,0,0.4257464486036066,23.0,41.0
CO,0,0.0,0.0,18.0
CO,0,0.0171886752429933,18.0,19.0
CO,0,0.1120011553125239,19.0,20.0
CO,0,0.1538001656018635,20.0,21.0
CO,0,0.2181589430497287,21.0,22.0
CO,0,0.2311716302930114,22.0,23.0
CO,0,0.248271439453043,23.0,41.0
CT,0,0.0,0.0,18.0
CT,1,0.0522628277247708,18.0,19.0
DE,0,0.0,0.0,18.0
DE,0,0.0810553864932264,18.0,19.0
DE,1,0.1691051218941458,19.0,20.0
FL,0,0.0,0.0,18.0
FL,0,0.0666894012588541,18.0,19.0
FL,0,0.1164341223770775,19.0,20.0
FL,0,0.1600327129468624,20.0,21.0
FL,0,0.2097490795154853,21.0,22.0
FL,0,0.2234473962820779,22.0,23.0
FL,0,0.2331228460690784,23.0,41.0
GA,0,0.0,0.0,18.0
GA,0,0.0334623155498053,18.0,19.0
GA,0,0.1906503885870386,19.0,20.0
GA,0,0.275056231617716,20.0,21.0
GA,0,0.3467248912377902,21.0,22.0
GA,0,0.3505590613359864,22.0,23.0
GA,0,0.3670787279344778,23.0,41.0
HI,0,0.0,0.0,18.0
HI,0,0.0893357155633295,18.0,19.0
HI,0,0.166406593912193,19.0,20.0
HI,0,0.2206354067607289,20.0,21.0
HI,0,0.2684890855930605,21.0,22.0
HI,0,0.2726945853949833,22.0,23.0
HI,0,0.2826823308347304,23.0,41.0
IA,0,0.0,0.0,18.0
IA,0,0.0358024207253421,18.0,19.0
IA,0,0.1243782069370172,19.0,20.0
IA,0,0.1981553883298644,20.0,21.0
IA,0,0.2732327387084568,21.0,22.0
IA,0,0.2908374499157541,22.0,23.0
IA,0,0.3616146961351779,23.0,41.0
ID,0,0.0,0.0,18.0
ID,0,0.0619884682414165,18.0,19.0
ID,0,0.1595529732916877,19.0,20.0
ID,0,0.2460083794288665,20.0,21.0
ID,0,0.3468917542950286,21.0,22.0
ID,0,0.3495481496765037,22.0,23.0
ID,0,0.3877966810368259,23.0,41.0
IL,1,0.0,0.0,18.0
IN,0,0.0,0.0,18.0
IN,0,0.0853903626543058,18.0,19.0
IN,0,0.1267735517227134,19.0,20.0
IN,0,0.2409847581961969,20.0,21.0
IN,0,0.2559590971495062,21.0,22.0
IN,0,0.2751795789974893,22.0,23.0
IN,0,0.3107091437810134,23.0,41.0
KS,0,0.0,0.0,18.0
KS,0,0.0300559813367881,18.0,19.0
KS,0,0.0982670229532916,19.0,20.0
KS,0,0.1856654339093051,20.0,21.0
KS,0,0.2050454646738834,21.0,22.0
KS,0,0.2475260550122675,22.0,23.0
KS,0,0.3072557076229125,23.0,41.0
KY,0,0.0,0.0,18.0
KY,0,0.0529846963721851,18.0,19.0
KY,0,0.1807891039933064,19.0,20.0
KY,0,0.2609403037456205,20.0,21.0
KY,0,0.3549421046513101,21.0,22.0
KY,0,0.3791138621949105,22.0,23.0
KY,0,0.4343283309912805,23.0,41.0
LA,0,0.0,0.0,18.0
LA,0,0.0490822447651964,18.0,19.0
LA,0,0.150310443903126,19.0,20.0
LA,0,0.2149811308001435,20.0,21.0
LA,0,0.2789311233181712,21.0,22.0
LA,0,0.2844165265688012,22.0,23.0
LA,0,0.3180562377067797,23.0,41.0
MA,0,0.0,0.0,18.0
MA,1,0.054305700265903,18.0,19.0
MD,0,0.0,0.0,18.0
MD,0,0.0082116239468819,18.0,19.0
MD,1,0.1176940797103735,19.0,20.0
ME,0,0.0,0.0,18.0
ME,0,0.081851025333931,18.0,19.0
ME,0,0.1327186048884078,19.0,20.0
ME,1,0.2246702555104851,20.0,21.0
MI,0,0.0,0.0,18.0
MI,1,0.0757581365127218,18.0,19.0
MN,0,0.0,0.0,18.0
MN,0,0.0935685196688824,18.0,19.0
MN,0,0.1447866140958861,19.0,20.0
MN,0,0.232692072594664,20.0,21.0
MN,0,0.339824430027431,21.0,22.0
MN,0,0.3591102609980435,22.0,23.0
MN,0,0.4574091888450339,23.0,41.0
MO,0,0.0,0.0,18.0
MO,0,0.0330550410790887,18.0,19.0
MO,0,0.0620581399962541,19.0,20.0
MO,0,0.125310007084393,20.0,21.0
MO,0,0.3065067752377877,21.0,22.0
MO,0,0.3800464970983446,22.0,23.0
MO,0,0.4320903165562597,23.0,41.0
MS,0,0.0,0.0,18.0
MS,0,0.0327610487330972,18.0,19.0
MS,0,0.1042688747211992,19.0,20.0
MS,0,0.1390925232846309,20.0,21.0
MS,0,0.2764917126655331,21.0,22.0
MS,0,0.2872467586136198,22.0,23.0
MS,0,0.3216853543986311,23.0,41.0
MT,1,0.0,0.0,18.0
NC,0,0.0,0.0,18.0
NC,0,0.0956935805225178,18.0,19.0
NC,0,0.1548735295493246,19.0,20.0
NC,0,0.2180674672134433,20.0,21.0
NC,0,0.262603608114051,21.0,22.0
NC,0,0.2722193645883414,22.0,23.0
NC,0,0.2930374037379906,23.0,41.0
ND,0,0.0,0.0,18.0
ND,0,0.0881591452177234,18.0,19.0
ND,0,0.1424584608332245,19.0,20.0
ND,0,0.2638547514104802,20.0,21.0
ND,0,0.2877745851000868,21.0,22.0
ND,0,0.2929530499757594,22.0,23.0
ND,0,0.3138217370948708,23.0,41.0
NE,0,0.0,0.0,18.0
NE,0,0.0359950329007334,18.0,19.0
NE,0,0.154886826007493,19.0,20.0
NE,0,0.1978032673037437,20.0,21.0
NE,0,0.277130051098803,21.0,22.0
NE,0,0.3176009816536741,22.0,23.0
NE,0,0.3441177615885075,23.0,41.0
NH,0,0.0,0.0,18.0
NH,1,0.058299130378277,18.0,19.0
NJ,0,0.0,0.0,18.0
NJ,0,0.0547894673398296,18.0,19.0
NJ,1,0.0946488425624904,19.0,20.0
NM,0,0.0,0.0,18.0
