id,event,netmeter_yearadopted_21_slp,start,stop
AK,0,0.0,0.0,12.0
AK,0,0.0513734708863557,12.0,13.0
AK,0,0.0599601574644184,13.0,14.0
AK,0,0.145399754805359,14.0,15.0
AK,0,0.1494547246272192,15.0,19.0
AK,0,0.1925914416965991,19.0,20.0
AK,0,0.3192049372283203,20.0,21.0
AK,0,0.4447428900130848,21.0,22.0
AK,0,0.4447428900130848,22.0,23.0
AK,0,0.5243623539678158,23.0,24.0
AK,0,0.5369969503133178,24.0,25.0
AK,0,0.5727536213531464,25.0,26.0
AK,0,0.6895035764001898,26.0,27.0
AK,0,0.7215828319805576,27.0,28.0
AK,0,0.7485824675552353,28.0,29.0
AK,0,0.7738257818827079,29.0,30.0
AK,1,0.8265765934589058,30.0,31.0
AL,0,0.0,0.0,12.0
AL,0,0.041292954908178,12.0,13.0
AL,0,0.073329977517209,13.0,14.0
AL,0,0.0737029146554424,14.0,15.0
AL,0,0.0935528394994798,15.0,19.0
AL,0,0.0979719812074727,19.0,20.0
AL,0,0.2304273223190304,20.0,21.0
AL,0,0.3051699308092704,21.0,22.0
AL,0,0.3051699308092704,22.0,23.0
AL,0,0.3921199023329765,23.0,24.0
AL,0,0.4396495612388038,24.0,25.0
AL,0,0.4679871695442304,25.0,26.0
AL,0,0.5746306094738997,26.0,27.0
AL,0,0.642079069291925,27.0,28.0
AL,0,0.7406040155111048,28.0,29.0
AL,0,0.7659202104476048,29.0,30.0
AL,0,0.8280427827494896,30.0,31.0
AL,0,0.882060766249488,31.0,32.0
AL,0,0.895166569935736,32.0,33.0
AL,0,0.9449177396490956,33.0,41.0
AR,0,0.0,0.0,12.0
AR,0,0.0189706174584282,12.0,13.0
AR,0,0.0606169147016063,13.0,14.0
AR,0,0.0766940297271797,14.0,15.0
AR,0,0.1308017091699548,15.0,19.0
AR,0,0.1513730881768612,19.0,20.0
AR,0,0.2607800531579389,20.0,21.0
AR,1,0.421186934372677,21.0,22.0
AZ,0,0.0,0.0,12.0
AZ,0,0.055272315849793,12.0,13.0
AZ,0,0.0566070803236201,13.0,14.0
AZ,0,0.0570273088528865,14.0,15.0
AZ,0,0.0807923420231829,15.0,19.0
AZ,0,0.2150956006547822,19.0,20.0
AZ,0,0.2782684311311352,20.0,21.0
AZ,0,0.3553974300943896,21.0,22.0
AZ,0,0.3553974300943896,22.0,23.0
AZ,0,0.4744428198656962,23.0,24.0
AZ,0,0.4745615057295895,24.0,25.0
AZ,0,0.4773659886189211,25.0,26.0
AZ,0,0.5156353222680503,26.0,27.0
AZ,0,0.5512933023463169,27.0,28.0
AZ,1,0.5811096613758773,28.0,29.0
CA,0,0.0,0.0,12.0
CA,0,0.028510815329449,12.0,13.0
CA,0,0.0389884421793745,13.0,14.0
CA,0,0.0607802442473219,14.0,15.0
CA,1,0.0607802442473219,15.0,16.0
CO,0,0.0,0.0,12.0
CO,0,0.075168870108641,12.0,13.0
CO,0,0.1182821134437579,13.0,14.0
CO,0,0.1566659045707619,14.0,15.0
CO,0,0.1872841648610318,15.0,19.0
CO,0,0.2288028546925427,19.0,20.0
CO,0,0.2994613741822008,20.0,21.0
CO,0,0.3863826255375786,21.0,22.0
CO,0,0.3863826255375786,22.0,23.0
CO,0,0.4538943339076687,23.0,24.0
CO,0,0.4761275179230257,24.0,25.0
CO,1,0.489858363474013,25.0,26.0
CT,0,0.0,0.0,12.0
CT,0,0.0179099095694134,12.0,13.0
CT,0,0.0400160270665616,13.0,14.0
CT,0,0.0978754828744063,14.0,15.0
CT,1,0.1418774146533122,15.0,19.0
DE,0,0.0,0.0,12.0
DE,0,0.0170116007858314,12.0,13.0
DE,0,0.0326622446223642,13.0,14.0
DE,0,0.0596674354666983,14.0,15.0
DE,0,0.0826563292427542,15.0,19.0
DE,1,0.1248398333190958,19.0,20.0
FL,0,0.0,0.0,12.0
FL,0,0.0784491628769147,12.0,13.0
FL,0,0.1087561186548946,13.0,14.0
FL,0,0.1087731202715956,14.0,15.0
FL,0,0.15773660538001,15.0,19.0
FL,0,0.2206666395939641,19.0,20.0
FL,0,0.2909092590957586,20.0,21.0
FL,0,0.3974815624310123,21.0,22.0
FL,0,0.3974815624310123,22.0,23.0
FL,0,0.4885889790865884,23.0,24.0
FL,0,0.5289207226397961,24.0,25.0
FL,0,0.574818009111428,25.0,26.0
FL,0,0.6182911269938193,26.0,27.0
FL,0,0.6622603028115144,27.0,28.0
FL,1,0.7219526610546405,28.0,29.0
GA,0,0.0,0.0,12.0
GA,0,0.0332917203535629,12.0,13.0
GA,0,0.081253461488481,13.0,14.0
GA,0,0.0967896913253726,14.0,15.0
GA,0,0.1305558501597485,15.0,19.0
GA,0,0.2004022276197038,19.0,20.0
GA,0,0.2895520515248947,20.0,21.0
GA,1,0.4730551200921748,21.0,22.0
HI,0,0.0,0.0,12.0
HI,0,0.050330404310789,12.0,13.0
HI,0,0.0553507999252042,13.0,14.0
HI,0,0.067801993758108,14.0,15.0
HI,0,0.081222662194506,15.0,19.0
HI,0,0.1008755530289863,19.0,20.0
HI,0,0.1961713313090247,20.0,21.0
HI,0,0.2861873216181493,21.0,22.0
HI,0,0.2861873216181493,22.0,23.0
HI,0,0.3848789465493091,23.0,24.0
HI,1,0.3970835007610739,24.0,25.0
IA,1,0.0,0.0,11.0
ID,0,0.0,0.0,12.0
ID,0,0.0586194826804306,12.0,13.0
ID,0,0.0617272013907926,13.0,14.0
ID,0,0.0683056381809203,14.0,15.0
ID,0,0.0742856265240934,15.0,19.0
ID,0,0.0783329023549367,19.0,20.0
ID,0,0.1711637278199579,20.0,21.0
ID,0,0.3293354505629335,21.0,22.0
ID,0,0.3293354505629335,22.0,23.0
ID,0,0.4496363558260066,23.0,24.0
ID,0,0.4616589799277785,24.0,25.0
ID,0,0.4651394315288959,25.0,26.0
ID,0,0.5201425015128168,26.0,27.0
ID,0,0.6368257435223763,27.0,28.0
ID,0,0.7054363111545932,28.0,29.0
ID,0,0.7597359182417769,29.0,30.0
ID,0,0.8621276070948088,30.0,31.0
ID,0,0.8859729693920865,31.0,32.0
ID,0,0.8886707507931269,32.0,33.0
ID,0,0.8899445602812908,33.0,41.0
IL,0,0.0,0.0,12.0
IL,0,0.068610703565619,12.0,13.0
IL,0,0.1131444689246025,13.0,14.0
IL,0,0.1337193696230219,14.0,15.0
IL,0,0.1424854039707181,15.0,19.0
IL,0,0.2115507962046392,19.0,20.0
IL,0,0.3266169243849086,20.0,21.0
IL,0,0.4102866614477258,21.0,22.0
IL,0,0.4102866614477258,22.0,23.0
IL,0,0.5530264402064393,23.0,24.0
IL,0,0.5587621478016264,24.0,25.0
IL,0,0.5748419975181255,25.0,26.0
IL,0,0.5861270469940353,26.0,27.0
IL,1,0.6402643080832269,27.0,28.0
IN,0,0.0,0.0,12.0
IN,0,0.0750123204123607,12.0,13.0
IN,0,0.0779025371555515,13.0,14.0
IN,0,0.1348487390501734,14.0,15.0
IN,0,0.1388117935291948,15.0,19.0
IN,0,0.1525559025190173,19.0,20.0
IN,0,0.2902843282616945,20.0,21.0
IN,0,0.3956112519946205,21.0,22.0
IN,0,0.3956112519946205,22.0,23.0
