id,event,pace_21_slp,start,stop
AK,0,0.0459232871329721,0.0,31.0
AK,0,0.2036133175441509,31.0,32.0
AK,0,0.4749351347593002,32.0,33.0
AK,0,0.4854958397962781,33.0,34.0
AK,0,0.5101281069762248,34.0,35.0
AK,0,0.552227330065086,35.0,36.0
AK,0,0.60391222007808,36.0,37.0
AK,1,0.6099714449744494,37.0,38.0
AL,0,0.0463753698869634,0.0,31.0
AL,0,0.1745566154207308,31.0,32.0
AL,0,0.3369408575007453,32.0,33.0
AL,0,0.3371508470253884,33.0,34.0
AL,0,0.3527423072151492,34.0,35.0
AL,1,0.4729770980789995,35.0,36.0
AR,0,0.0920532026247546,0.0,31.0
AR,0,0.2986514118383859,31.0,32.0
AR,0,0.4043611784827238,32.0,33.0
AR,1,0.4168091320345101,33.0,34.0
AZ,0,0.0436871211578712,0.0,31.0
AZ,0,0.3254997570711976,31.0,32.0
AZ,0,0.4608569562812555,32.0,33.0
AZ,0,0.4789694995382918,33.0,34.0
AZ,0,0.525687140248298,34.0,35.0
AZ,0,0.5729867150454404,35.0,36.0
AZ,0,0.5760902027385456,36.0,37.0
AZ,0,0.6649714580784511,37.0,38.0
AZ,0,0.6744432037542469,38.0,39.0
AZ,0,0.796268305342949,39.0,40.0
AZ,0,0.8189025697995712,40.0,41.0
CA,1,0.0049869336387302,0.0,28.0
CO,1,0.0500403041159701,0.0,31.0
CT,0,0.0786996704066455,0.0,31.0
CT,1,0.2092266935460507,31.0,32.0
DE,0,0.0232322908383596,0.0,31.0
DE,0,0.1429874403011373,31.0,32.0
DE,0,0.3808243437897947,32.0,33.0
DE,0,0.3859335634126272,33.0,34.0
DE,0,0.4176329485023492,34.0,35.0
DE,0,0.4997134063557816,35.0,36.0
DE,0,0.5491089021148715,36.0,37.0
DE,0,0.6806914241502988,37.0,38.0
DE,1,0.6809986253048326,38.0,39.0
FL,1,0.0810552594574067,0.0,31.0
GA,1,0.0949196303744212,0.0,31.0
HI,0,0.013420668436398,0.0,31.0
HI,0,0.1612135190878044,31.0,32.0
HI,0,0.3745161573593212,32.0,33.0
HI,0,0.3802021812726087,33.0,34.0
HI,0,0.3938032348431238,34.0,35.0
HI,0,0.4838523093717377,35.0,36.0
HI,0,0.4865525993326584,36.0,37.0
HI,0,0.556733652320944,37.0,38.0
HI,0,0.5639671294308232,38.0,39.0
HI,0,0.6346210230680311,39.0,40.0
HI,0,0.6775669597328605,40.0,41.0
IA,0,0.0245384730787537,0.0,31.0
IA,0,0.230538839494713,31.0,32.0
IA,0,0.4051465366812863,32.0,33.0
IA,0,0.4116430037581112,33.0,34.0
IA,0,0.4583569558774538,34.0,35.0
IA,0,0.5167255119031379,35.0,36.0
IA,0,0.5392337601338614,36.0,37.0
IA,0,0.584113222097223,37.0,38.0
IA,0,0.5852456023127113,38.0,39.0
IA,0,0.6229889781066764,39.0,40.0
IA,0,0.6418668219571639,40.0,41.0
ID,0,0.014236321104307,0.0,31.0
ID,0,0.1619933924323275,31.0,32.0
ID,0,0.3720511399365332,32.0,33.0
ID,0,0.3787997165421163,33.0,34.0
ID,0,0.4580452963836205,34.0,35.0
ID,0,0.510705229141457,35.0,36.0
ID,0,0.5295916420219103,36.0,37.0
ID,1,0.6024569067222545,37.0,38.0
IL,0,0.0101165240848283,0.0,31.0
IL,0,0.2584459217780986,31.0,32.0
IL,0,0.3664534887888092,32.0,33.0
IL,0,0.3950263854864795,33.0,34.0
IL,0,0.4135856103549825,34.0,35.0
IL,0,0.4402735027273937,35.0,36.0
IL,0,0.4548637281720011,36.0,37.0
IL,0,0.4913818425105718,37.0,38.0
IL,0,0.5037497788010704,38.0,39.0
IL,0,0.5531744753260626,39.0,40.0
IL,0,0.5764881984036797,40.0,41.0
IN,0,0.0072896703269193,0.0,31.0
IN,0,0.1144460427860702,31.0,32.0
IN,0,0.3870800114336398,32.0,33.0
IN,0,0.4759167802979902,33.0,34.0
IN,0,0.4796941581010513,34.0,35.0
IN,0,0.5028018899831196,35.0,36.0
IN,0,0.5159694940847639,36.0,37.0
IN,0,0.5806433731843824,37.0,38.0
IN,0,0.6344275951928909,38.0,39.0
IN,0,0.6565821590885401,39.0,40.0
IN,0,0.6909456060785711,40.0,41.0
KS,0,0.0141315262130141,0.0,31.0
KS,0,0.1538393558285948,31.0,32.0
KS,0,0.4276678999066347,32.0,33.0
KS,0,0.4474428633123629,33.0,34.0
KS,0,0.4481527374160796,34.0,35.0
KS,0,0.4819938947840992,35.0,36.0
KS,0,0.4875302095804882,36.0,37.0
KS,0,0.5348335016173371,37.0,38.0
KS,0,0.5774297983514108,38.0,39.0
KS,0,0.5897927458466603,39.0,40.0
KS,0,0.6024907773630503,40.0,41.0
KY,0,0.0993370199131968,0.0,31.0
KY,0,0.2610977026444557,31.0,32.0
KY,0,0.4774313873549235,32.0,33.0
KY,0,0.4851673196893755,33.0,34.0
KY,0,0.5313200073441817,34.0,35.0
KY,1,0.5727699763665776,35.0,36.0
LA,0,0.0079782314250039,0.0,31.0
LA,0,0.1819750189465436,31.0,32.0
LA,0,0.3972963912788136,32.0,33.0
LA,0,0.3985863041755619,33.0,34.0
LA,0,0.4378615982055161,34.0,35.0
LA,0,0.5266186982444282,35.0,36.0
LA,0,0.538934034560594,36.0,37.0
LA,0,0.5840197759948393,37.0,38.0
LA,0,0.5843181304196675,38.0,39.0
LA,0,0.6449398696366103,39.0,40.0
LA,0,0.6674558053892564,40.0,41.0
MA,1,0.0250774369097877,0.0,31.0
MD,0,0.0075175875988445,0.0,29.0
MD,1,0.0325163951234204,29.0,30.0
ME,1,0.0206586326394775,0.0,31.0
MI,1,0.0271915597715332,0.0,31.0
MN,1,0.0175776750031157,0.0,31.0
MO,1,0.0591143175720001,0.0,31.0
MS,0,0.0479365254101982,0.0,31.0
MS,0,0.1802119986150009,31.0,32.0
MS,0,0.3282683773222415,32.0,33.0
MS,0,0.3409176888853668,33.0,34.0
MS,0,0.389530452037366,34.0,35.0
MS,0,0.4466128983186537,35.0,36.0
MS,0,0.4786320129101004,36.0,37.0
MS,0,0.5334081922916655,37.0,38.0
MS,0,0.5673884503474063,38.0,39.0
MS,0,0.6322347266617091,39.0,40.0
MS,0,0.7237043113868956,40.0,41.0
MT,0,0.0466807410644885,0.0,31.0
MT,0,0.2414935728240847,31.0,32.0
MT,0,0.4446643103379895,32.0,33.0
MT,0,0.4580994877462492,33.0,34.0
MT,0,0.4677895855159348,34.0,35.0
MT,0,0.4829465558604265,35.0,36.0
MT,0,0.4899932889275964,36.0,37.0
MT,0,0.5227826399583264,37.0,38.0
MT,0,0.5280395669165429,38.0,39.0
MT,0,0.5633888854551148,39.0,40.0
MT,0,0.5832266933159814,40.0,41.0
NC,0,0.0325026022561084,0.0,29.0
NC,1,0.0729564878701624,29.0,30.0
ND,0,0.060223219545749,0.0,31.0
ND,0,0.2437071131516194,31.0,32.0
ND,0,0.4123953296435005,32.0,33.0
ND,0,0.4921530739010635,33.0,34.0
ND,0,0.5027028566932771,34.0,35.0
ND,0,0.5342928605621529,35.0,36.0
ND,0,0.5492198657787557,36.0,37.0
ND,0,0.6480246664544866,37.0,38.0
ND,0,0.6792417300066531,38.0,39.0
ND,0,0.6914393783093906,39.0,40.0
ND,0,0.7292544796424332,40.0,41.0
NE,0,0.0443250260600172,0.0,31.0
NE,0,0.3124961309603449,31.0,32.0
NE,0,0.4515717594293464,32.0,33.0
NE,0,0.4681128469433911,33.0,34.0
NE,0,0.4938272654221043,34.0,35.0
NE,0,0.5410976846613577,35.0,36.0
NE,1,0.5510891062446986,36.0,37.0
NH,1,0.0072295800160439,0.0,31.0
NJ,0,0.068263826008484,0.0,31.0
NJ,0,0.231135401708247,31.0,32.0
NJ,1,0.3828467461872453,32.0,33.0
NM,0,0.0214867007104493,0.0,29.0
NM,1,0.038791213612138,29.0,30.0
NV,0,0.0180175466936555,0.0,29.0
NV,1,0.0429261212413114,29.0,30.0
NY,0,0.0336777334789234,0.0,29.0
NY,1,0.0363302357160865,29.0,30.0
OH,1,0.0616509092037219,0.0,31.0
OK,0,0.0136389325944556,0.0,29.0
OK,1,0.0203474477988241,29.0,30.0
OR,0,0.0434365625787129,0.0,31.0
OR,0,0.1368694878227737,31.0,32.0
OR,0,0.3775756705310897,32.0,33.0
OR,0,0.3855747665989219,33.0,34.0
OR,1,0.4301565900782919,34.0,35.0
PA,0,0.0801734176622529,0.0,31.0
PA,0,0.1395735380346858,31.0,32.0
PA,0,0.3760676308430594,32.0,33.0
PA,0,0.3922252684061814,33.0,34.0
PA,0,0.4024316924891535,34.0,35.0
