id,event,public_building_standards_slp,start,stop
AK,0,0.0,0.0,22.0
AK,0,0.0618394743068857,22.0,23.0
AK,0,0.1008771822011829,23.0,24.0
AK,0,0.1255094493811296,24.0,25.0
AK,0,0.1882101543994747,25.0,26.0
AK,0,0.2017269686701347,26.0,27.0
AK,0,0.3103614950861736,27.0,28.0
AK,0,0.4610422770429211,28.0,29.0
AK,0,0.5358083752242844,29.0,30.0
AK,0,0.7013634152226456,30.0,31.0
AK,0,0.7215432526479797,31.0,32.0
AK,0,0.7254085109674439,32.0,33.0
AK,0,0.7359375370770788,33.0,34.0
AK,0,0.7903302729105824,34.0,35.0
AK,0,0.8451846711154604,35.0,36.0
AK,0,0.8451846711154604,36.0,41.0
AL,0,0.0,0.0,22.0
AL,0,0.0031047995257715,22.0,23.0
AL,0,0.0586223609655605,23.0,24.0
AL,0,0.0742138211553213,24.0,25.0
AL,0,0.1095677154171872,25.0,26.0
AL,1,0.1446346230143781,26.0,27.0
AR,0,0.0,0.0,22.0
AR,0,0.0668460329483244,22.0,23.0
AR,0,0.0995008534351317,23.0,24.0
AR,0,0.1058645331110639,24.0,25.0
AR,1,0.1449126830550666,25.0,26.0
AZ,0,0.0,0.0,22.0
AZ,0,0.1011703142697558,22.0,23.0
AZ,1,0.1089805204343302,23.0,24.0
CA,0,0.0,0.0,22.0
CA,0,0.061825141891423,22.0,23.0
CA,0,0.1637146920809212,23.0,24.0
CA,0,0.1691999801587154,24.0,25.0
CA,1,0.2378570055498586,25.0,26.0
CO,0,0.0,0.0,22.0
CO,0,0.036763111282493,22.0,23.0
CO,0,0.1106931294610263,23.0,24.0
CO,0,0.1299855980654896,24.0,25.0
CO,1,0.1574575553351028,25.0,26.0
CT,0,0.0,0.0,22.0
CT,0,0.0403466019333689,22.0,23.0
CT,0,0.0731113334450746,23.0,24.0
CT,0,0.0738918263514591,24.0,25.0
CT,0,0.1356604835241648,25.0,26.0
CT,1,0.2490079037826588,26.0,27.0
DE,0,0.0,0.0,22.0
DE,0,0.0912164058649157,22.0,23.0
DE,0,0.1500288132810971,23.0,24.0
DE,1,0.1817281983708192,24.0,25.0
FL,0,0.0,0.0,22.0
FL,0,0.0205907924796129,22.0,23.0
FL,0,0.1095140507546362,23.0,24.0
FL,0,0.1376266295574356,24.0,25.0
FL,0,0.1712238245074029,25.0,26.0
FL,0,0.1784794441425762,26.0,27.0
FL,1,0.3953099553927689,27.0,28.0
GA,0,0.0,0.0,22.0
GA,0,0.0904699000336511,22.0,23.0
GA,0,0.1265290811870131,23.0,24.0
GA,0,0.1319176620085102,24.0,25.0
GA,0,0.1377442259861503,25.0,26.0
GA,0,0.1852203879219295,26.0,27.0
GA,0,0.3337314122092356,27.0,28.0
GA,1,0.4405931268215685,28.0,29.0
HI,0,0.0,0.0,22.0
HI,0,0.0212779853044448,22.0,23.0
HI,0,0.0697155810042154,23.0,24.0
HI,0,0.0833166345747304,24.0,25.0
HI,0,0.108723728194626,25.0,26.0
HI,1,0.1516696648594555,26.0,27.0
IA,0,0.0,0.0,22.0
IA,0,0.0459615828392577,22.0,23.0
IA,0,0.088745982238162,23.0,24.0
IA,0,0.1354599343575046,24.0,25.0
IA,1,0.1612310186657427,25.0,26.0
ID,0,0.0,0.0,22.0
ID,0,0.0193105664575288,22.0,23.0
ID,0,0.1157752671081635,23.0,24.0
ID,0,0.1950208469496677,24.0,25.0
ID,0,0.2112063575730731,25.0,26.0
ID,0,0.2629032200156441,26.0,27.0
ID,0,0.3327121023482708,27.0,28.0
ID,0,0.3806168910408032,28.0,29.0
ID,0,0.5477997818828255,29.0,30.0
ID,0,0.7063447572657537,30.0,31.0
ID,0,0.7999163461352196,31.0,32.0
ID,0,0.8100921339414903,32.0,33.0
ID,0,0.8247433595850858,33.0,34.0
ID,0,0.8772222761880403,34.0,35.0
ID,0,0.8848242683211621,35.0,36.0
ID,0,0.8848242683211621,36.0,41.0
IL,0,0.0,0.0,22.0
IL,0,0.0826900932740615,22.0,23.0
IL,0,0.165281954922042,23.0,24.0
IL,0,0.1838411797905451,24.0,25.0
IL,0,0.2483044764557712,25.0,26.0
IL,0,0.2716181995333884,26.0,27.0
IL,1,0.3270907164684038,27.0,28.0
IN,0,0.0,0.0,22.0
IN,0,0.0215999086106505,22.0,23.0
IN,0,0.0718818879332451,23.0,24.0
IN,0,0.0756592657363062,24.0,25.0
IN,0,0.1008475066932043,25.0,26.0
IN,0,0.1352109536832353,26.0,27.0
IN,0,0.1680460961452454,27.0,28.0
IN,1,0.3713975975557337,28.0,29.0
KS,0,0.0,0.0,22.0
KS,0,0.015469157244906,22.0,23.0
KS,0,0.0437137643218548,23.0,24.0
KS,0,0.0444236384255715,24.0,25.0
KS,0,0.1084950007903949,25.0,26.0
KS,0,0.121193032306785,26.0,27.0
KS,0,0.2267739343889836,27.0,28.0
KS,0,0.3356018163097985,28.0,29.0
KS,0,0.5076461385878812,29.0,30.0
KS,0,0.6685069652191824,30.0,31.0
KS,1,0.7015012611147271,31.0,32.0
KY,0,0.0,0.0,22.0
KY,0,0.0756559838731964,22.0,23.0
KY,0,0.1354854327568797,23.0,24.0
KY,0,0.181638120411686,24.0,25.0
KY,0,0.2139398321140036,25.0,26.0
KY,0,0.248740493346865,26.0,27.0
KY,0,0.3753921182072733,27.0,28.0
KY,1,0.4094016961190136,28.0,29.0
LA,0,0.0,0.0,22.0
LA,0,0.0261067003356476,22.0,23.0
LA,0,0.0402358073268299,23.0,24.0
LA,0,0.0795111013567841,24.0,25.0
LA,0,0.0955212673558956,25.0,26.0
LA,0,0.1180372031085417,26.0,27.0
LA,1,0.2911161198832503,27.0,28.0
MA,0,0.0,0.0,22.0
MA,0,0.0632686772298667,22.0,23.0
MA,0,0.1524358344327896,23.0,24.0
MA,0,0.1592107122281853,24.0,25.0
MA,0,0.1781954085797062,25.0,26.0
MA,0,0.189361608541958,26.0,27.0
MA,1,0.2950160241597691,27.0,28.0
MD,1,0.0,0.0,21.0
ME,0,0.0,0.0,22.0
ME,0,0.0220601117378423,22.0,23.0
ME,1,0.0779863739790723,23.0,24.0
MI,0,0.0,0.0,22.0
MI,0,0.1616876015851806,22.0,23.0
MI,0,0.2074456978960062,23.0,24.0
MI,0,0.2156399506132399,24.0,25.0
MI,0,0.2430891806223272,25.0,26.0
MI,0,0.2654514108850176,26.0,27.0
MI,0,0.3533823128527682,27.0,28.0
MI,1,0.4334910882951497,28.0,29.0
MN,1,0.0,0.0,22.0
MO,0,0.0,0.0,22.0
MO,0,0.0557666246497276,22.0,23.0
MO,0,0.1510728847423568,23.0,24.0
MO,0,0.1960093391132514,24.0,25.0
MO,0,0.2924428807351605,25.0,26.0
MO,0,0.384797917974341,26.0,27.0
MO,0,0.4692375730724224,27.0,28.0
MO,0,0.5546180480016369,28.0,29.0
MO,1,0.7654585260549676,29.0,30.0
MS,0,0.0,0.0,22.0
MS,0,0.0363594661243892,22.0,23.0
MS,0,0.1185752744962226,23.0,24.0
MS,0,0.1671880376482218,24.0,25.0
MS,0,0.1924634316682971,25.0,26.0
MS,0,0.2839330163934837,26.0,27.0
MS,0,0.402460465772708,27.0,28.0
MS,0,0.5035981672009412,28.0,29.0
MS,0,0.6032860313284746,29.0,30.0
MS,0,0.7061297981355624,30.0,31.0
MS,0,0.7504389388988534,31.0,32.0
MS,0,0.7620448356544249,32.0,33.0
MS,1,0.784104539388432,33.0,34.0
MT,0,0.0,0.0,22.0
