id,event,w4_gas_decoupling_21_slp,start,stop
AK,0,0.0372146685195631,0.0,20.0
AK,0,0.047775373556541,20.0,21.0
AK,0,0.067330627674548,21.0,22.0
AK,0,0.0930447899663617,22.0,23.0
AK,0,0.1447296799793556,23.0,27.0
AK,0,0.1579703901407869,27.0,28.0
AK,0,0.185460519108228,28.0,29.0
AK,0,0.255562338643066,29.0,30.0
AK,0,0.4077378488567851,30.0,31.0
AK,0,0.4931774461977258,31.0,32.0
AK,0,0.5319893211109924,32.0,33.0
AK,0,0.5776530966669686,33.0,34.0
AK,0,0.5941226503848146,34.0,35.0
AK,0,0.6184889636226696,35.0,36.0
AK,0,0.6511339331170458,36.0,40.0
AK,0,0.6587434239893494,40.0,41.0
AL,1,0.0,0.0,11.0
AR,0,0.0773579644129896,0.0,20.0
AR,0,0.0898059179647759,20.0,21.0
AR,0,0.0974774273800446,21.0,22.0
AR,0,0.1576291229653537,22.0,23.0
AR,0,0.2202104590714379,23.0,27.0
AR,1,0.2846200964380091,27.0,28.0
AZ,0,0.1331505872770547,0.0,20.0
AZ,0,0.1512631305340911,20.0,21.0
AZ,0,0.1517124904631921,21.0,22.0
AZ,0,0.1638314746470497,22.0,23.0
AZ,0,0.1669349623401552,23.0,27.0
AZ,0,0.2757076037838677,27.0,28.0
AZ,0,0.3250976671145945,28.0,29.0
AZ,0,0.4401096496326408,29.0,30.0
AZ,0,0.5699213765935867,30.0,31.0
AZ,1,0.570341605122853,31.0,32.0
CA,1,0.0,0.0,11.0
CO,0,0.078707903886795,0.0,20.0
CO,0,0.0792530359673818,20.0,21.0
CO,0,0.1075775192847595,21.0,22.0
CO,0,0.1191000085493936,22.0,23.0
CO,0,0.136042647012979,23.0,27.0
CO,0,0.1852639482835028,27.0,28.0
CO,1,0.2325626513999921,28.0,29.0
CT,1,0.0709531024919482,0.0,19.0
DE,0,0.1374462662405343,0.0,20.0
DE,0,0.1425554858633668,20.0,21.0
DE,0,0.1488616308960147,21.0,22.0
DE,0,0.18136412549503,22.0,23.0
DE,0,0.2307596212541198,23.0,27.0
DE,0,0.3109473604462094,27.0,28.0
DE,0,0.3511615712092952,28.0,29.0
DE,0,0.4384616234355789,29.0,30.0
DE,0,0.6009320679317878,30.0,31.0
DE,0,0.6279372587761218,31.0,32.0
DE,0,0.6589490583799724,32.0,33.0
DE,0,0.7519516808090491,33.0,34.0
DE,0,0.7568793083091597,34.0,35.0
DE,0,0.7622745837936181,35.0,36.0
DE,0,0.8001516545024168,36.0,40.0
DE,0,0.8189613109235605,40.0,41.0
FL,0,0.1068013827283188,0.0,20.0
FL,0,0.1146546869023398,20.0,21.0
FL,0,0.1721692087206486,21.0,22.0
FL,0,0.1894268678572061,22.0,23.0
FL,0,0.1951687166357132,23.0,27.0
FL,0,0.2128142518458156,27.0,28.0
FL,0,0.253037884481198,28.0,29.0
FL,0,0.3847784508883553,29.0,30.0
FL,0,0.5359917101810291,30.0,31.0
FL,0,0.5360087117977301,31.0,32.0
FL,0,0.6660530636620562,32.0,33.0
FL,0,0.69417779038531,33.0,34.0
FL,0,0.6957313635368368,34.0,35.0
FL,0,0.7058122196605942,35.0,36.0
FL,0,0.7448379258851154,36.0,40.0
FL,0,0.7453387014555711,40.0,41.0
GA,0,0.0822965496721274,0.0,20.0
GA,0,0.092868888870576,20.0,21.0
GA,0,0.0943447880426324,21.0,22.0
GA,0,0.1367287365202646,22.0,23.0
GA,0,0.1889147925621349,23.0,27.0
GA,0,0.2390536121414596,27.0,28.0
GA,0,0.2552722666724761,28.0,29.0
GA,0,0.3171965390858475,29.0,30.0
GA,0,0.466225308937761,30.0,31.0
GA,1,0.4817615387746525,31.0,32.0
HI,0,0.0501776108352372,0.0,20.0
HI,0,0.0558636347485247,20.0,21.0
HI,0,0.0655208627458632,21.0,22.0
HI,0,0.1130419619948854,22.0,23.0
HI,0,0.115742251955806,23.0,27.0
HI,0,0.1451479836879103,27.0,28.0
HI,0,0.1927917437773498,28.0,29.0
HI,0,0.332598874392314,29.0,30.0
HI,0,0.4870877867233611,30.0,31.0
HI,0,0.4995389805562649,31.0,32.0
HI,0,0.5881672374811158,32.0,33.0
HI,0,0.6293544815389459,33.0,34.0
HI,0,0.6378739892110848,34.0,35.0
HI,0,0.6921337311739467,35.0,36.0
HI,0,0.722462818449767,36.0,40.0
HI,0,0.7497338251963042,40.0,41.0
IA,0,0.0715586846716465,0.0,20.0
IA,0,0.0780551517484714,20.0,21.0
IA,0,0.1067481261245571,21.0,22.0
IA,0,0.135433670051302,22.0,23.0
IA,1,0.1579419182820255,23.0,27.0
ID,0,0.0239019290308567,0.0,20.0
ID,0,0.0306505056364398,20.0,21.0
ID,0,0.059004675200665,21.0,22.0
ID,0,0.0784001624042853,22.0,23.0
ID,0,0.0972865752847387,23.0,27.0
ID,0,0.1785758608587252,27.0,28.0
ID,0,0.279305019908728,28.0,29.0
ID,0,0.3865825372982884,29.0,30.0
ID,0,0.5080713485849934,30.0,31.0
ID,0,0.5146497853751211,31.0,32.0
ID,0,0.5962556460824147,32.0,33.0
ID,0,0.6491341977665731,33.0,34.0
ID,0,0.7264031260527649,34.0,35.0
ID,0,0.7697372930691326,35.0,36.0
ID,1,0.7697372930691326,36.0,37.0
IL,0,0.0233977140347119,0.0,20.0
IL,0,0.0519706107323821,20.0,21.0
IL,0,0.0520649565072338,21.0,22.0
IL,0,0.0664230565946693,22.0,23.0
IL,0,0.0810132820392768,23.0,27.0
IL,0,0.1504878159759165,27.0,28.0
IL,1,0.1738201606680921,28.0,29.0
IN,0,0.0623617458681526,0.0,20.0
IN,0,0.1511985147325029,20.0,21.0
IN,0,0.1829876006867354,21.0,22.0
IN,0,0.2057048782934332,22.0,23.0
IN,0,0.2188724823950775,23.0,27.0
IN,0,0.2323842482626313,27.0,28.0
IN,0,0.2427048044155366,28.0,29.0
IN,0,0.2660129438414213,29.0,30.0
IN,0,0.478113663857948,30.0,31.0
IN,0,0.5350598657525699,31.0,32.0
IN,0,0.6132156448675229,32.0,33.0
IN,0,0.6231471327724417,33.0,34.0
IN,0,0.6341767094629146,34.0,35.0
IN,0,0.652487529240665,35.0,36.0
IN,0,0.6734586846797087,36.0,40.0
IN,0,0.7050574750284978,40.0,41.0
KS,0,0.0419748164766894,0.0,20.0
KS,0,0.0617497798824176,20.0,21.0
KS,0,0.0634315337055494,21.0,22.0
KS,0,0.0819064156625363,22.0,23.0
KS,0,0.0874427304589253,23.0,27.0
KS,1,0.1047387043549955,27.0,28.0
KY,0,0.1143246308727386,0.0,20.0
KY,0,0.1220605632071905,20.0,21.0
KY,0,0.1221276193858941,21.0,22.0
KY,0,0.1410229579765413,22.0,23.0
KY,0,0.1994525078142852,23.0,27.0
KY,0,0.223945884047285,27.0,28.0
KY,0,0.2753494341634016,28.0,29.0
KY,0,0.3465853379629845,29.0,30.0
KY,1,0.5358396252744801,30.0,31.0
LA,0,0.0888788353094511,0.0,20.0
LA,0,0.0901687482061993,20.0,21.0
LA,0,0.098296909250991,21.0,22.0
LA,0,0.1600651629324622,22.0,23.0
LA,0,0.172380499248628,23.0,27.0
LA,0,0.2040208744810554,27.0,28.0
LA,0,0.2617648278120371,28.0,29.0
LA,0,0.3670078686346383,29.0,30.0
