id,event,w_environment_solar_taxcred_slp,start,stop
AK,0,0.2105026889094308,0.0,2.0
AK,0,0.2351349560893774,2.0,3.0
AK,0,0.335723763787108,3.0,4.0
AK,0,0.3882611506806032,4.0,16.0
AK,0,0.4240178217204318,16.0,17.0
AK,0,0.4304585621392724,17.0,18.0
AK,0,0.4326863849346385,18.0,21.0
AK,0,0.4691192848384831,21.0,22.0
AK,0,0.4792738691323749,22.0,23.0
AK,0,0.502062406777968,23.0,24.0
AK,0,0.5168172613026428,24.0,25.0
AK,0,0.5356208423231883,25.0,26.0
AK,0,0.5356208423231883,26.0,28.0
AK,0,0.5408066760311121,28.0,29.0
AK,0,0.5736730690167687,29.0,30.0
AK,0,0.6234568091908822,30.0,31.0
AK,0,0.6435907706616267,31.0,32.0
AK,0,0.6866901783466305,32.0,33.0
AK,0,0.7015986257351123,33.0,41.0
AL,0,0.1625178586645356,0.0,2.0
AL,0,0.1781093188542964,2.0,3.0
AL,0,0.2462601600300991,3.0,4.0
AL,0,0.2593429699215664,4.0,16.0
AL,0,0.2876805782269931,16.0,17.0
AL,0,0.2980060234919355,17.0,18.0
AL,0,0.3100590548079591,18.0,21.0
AL,0,0.3792975048239842,21.0,22.0
AL,0,0.381010441680419,22.0,23.0
AL,0,0.4663715581454745,23.0,24.0
AL,0,0.477657995183086,24.0,25.0
AL,0,0.5053544667397867,25.0,26.0
AL,0,0.5053544667397867,26.0,28.0
AL,0,0.5551056364531461,28.0,29.0
AL,0,0.5822791200259801,29.0,30.0
AL,0,0.5841344187342258,30.0,31.0
AL,0,0.6134275317233983,31.0,32.0
AL,0,0.6377025270415909,32.0,33.0
AL,0,0.652396045653105,33.0,41.0
AR,0,0.2052854276585773,0.0,2.0
AR,0,0.2116491073345095,2.0,3.0
AR,0,0.2583393630161612,3.0,4.0
AR,0,0.282317554596096,4.0,16.0
AR,0,0.2829370138847293,16.0,17.0
AR,0,0.310034798955182,17.0,18.0
AR,0,0.3283414245092894,18.0,21.0
AR,0,0.446372034358883,21.0,22.0
AR,0,0.4506367312011233,22.0,23.0
AR,0,0.5602921343563471,23.0,24.0
AR,0,0.5773720249422917,24.0,25.0
AR,0,0.5862052166414942,25.0,26.0
AR,0,0.5862052166414942,26.0,28.0
