id,event,w_gg_rr_21_slp,start,stop
AK,0,0.0,0.0,28.0
AK,0,0.0040549698218601,28.0,29.0
AK,0,0.1169846961302419,29.0,30.0
AK,0,0.1910313704093464,30.0,31.0
AK,0,0.3435048600935848,31.0,32.0
AK,0,0.3435048600935848,32.0,41.0
AL,0,0.0,0.0,28.0
AL,0,0.0198499248440373,28.0,29.0
AL,0,0.0470954690856867,29.0,30.0
AL,0,0.0898334760602195,30.0,31.0
AL,0,0.2757456129283648,31.0,32.0
AL,0,0.2757456129283648,32.0,41.0
AR,0,0.0,0.0,28.0
AR,0,0.0541076794427751,28.0,29.0
AR,0,0.0793968892229794,29.0,30.0
AR,0,0.1686121359571989,30.0,31.0
AR,0,0.4140818636141727,31.0,32.0
AR,0,0.4140818636141727,32.0,41.0
AZ,0,0.0,0.0,28.0
AZ,0,0.0237650331702964,28.0,29.0
AZ,0,0.0735753250302895,29.0,30.0
AZ,0,0.1031296503672164,30.0,31.0
AZ,0,0.3450001663328377,31.0,32.0
AZ,0,0.3450001663328377,32.0,41.0
CA,1,0.0,0.0,27.0
CO,0,0.0,0.0,28.0
CO,0,0.0306182602902699,28.0,29.0
CO,0,0.1163007545337632,29.0,30.0
CO,0,0.1618913523483318,30.0,31.0
CO,0,0.3488384099733532,31.0,32.0
CO,0,0.3488384099733532,32.0,41.0
CT,0,0.0,0.0,28.0
CT,0,0.0440019317789058,28.0,29.0
CT,1,0.1102130659273351,29.0,30.0
DE,0,0.0,0.0,28.0
DE,0,0.0229888937760558,28.0,29.0
DE,1,0.0902082953834757,29.0,30.0
FL,0,0.0,0.0,28.0
FL,1,0.0489634851084144,28.0,29.0
GA,0,0.0,0.0,28.0
GA,0,0.0337661588343758,28.0,29.0
GA,0,0.0655210432022839,29.0,30.0
GA,0,0.1459191274535337,30.0,31.0
GA,0,0.3718141580293125,31.0,32.0
GA,0,0.3718141580293125,32.0,41.0
HI,0,0.0,0.0,28.0
