id,event,w_ghg_targets_21_slp,start,stop
AK,0,0.0,0.0,23.0
AK,0,0.0592397888775422,23.0,24.0
AK,0,0.0731844910102227,24.0,25.0
AK,0,0.1294444556097272,25.0,26.0
AK,0,0.1294444556097272,26.0,27.0
AK,0,0.1482542799562622,27.0,28.0
AK,0,0.1546950203751028,28.0,29.0
AK,0,0.3310397236006202,29.0,30.0
AK,0,0.376802966915071,30.0,31.0
AK,0,0.4057611322295082,31.0,32.0
AK,0,0.4116684556278646,32.0,40.0
AK,0,0.414754581495404,40.0,41.0
AL,0,0.0,0.0,23.0
AL,0,0.0760190540749184,23.0,24.0
AL,0,0.0861428774811365,24.0,25.0
AL,0,0.11117132647806,25.0,26.0
AL,0,0.11117132647806,26.0,27.0
AL,0,0.1423076883597089,27.0,28.0
AL,0,0.1526331336246513,28.0,29.0
AL,0,0.2608139437362725,29.0,30.0
AL,0,0.2652449499871275,30.0,31.0
AL,0,0.2946543584002629,31.0,32.0
AL,0,0.2969809749397691,32.0,40.0
AL,0,0.3578492711751727,40.0,41.0
AR,0,0.0,0.0,23.0
AR,0,0.0945607377568916,23.0,24.0
AR,0,0.1110904036532961,24.0,25.0
AR,0,0.1230407685268461,25.0,26.0
AR,0,0.1230407685268461,26.0,27.0
AR,0,0.1942283385555659,27.0,28.0
AR,0,0.2213261236260185,28.0,29.0
AR,0,0.3760242894925206,29.0,30.0
AR,0,0.4097733278070269,30.0,31.0
AR,0,0.4228712163484698,31.0,32.0
AR,0,0.4603652321204727,32.0,40.0
AR,0,0.5205101726448036,40.0,41.0
AZ,0,0.0,0.0,23.0
AZ,0,0.035418746373118,23.0,24.0
AZ,0,0.0389284368598749,24.0,25.0
AZ,0,0.0483638258985826,25.0,26.0
AZ,1,0.0483638258985826,26.0,27.0
CA,0,0.0,0.0,23.0
CA,0,0.0593872493006126,23.0,24.0
CA,0,0.1283209711145309,24.0,25.0
CA,1,0.1650172615124843,25.0,26.0
CO,0,0.0,0.0,23.0
CO,0,0.0183169508219208,23.0,24.0
CO,0,0.0527377733218297,24.0,25.0
CO,0,0.0657504605651125,25.0,26.0
CO,0,0.0657504605651125,26.0,27.0
CO,0,0.1164113799194642,27.0,28.0
CO,1,0.1308706499457946,28.0,29.0
CT,0,0.0,0.0,23.0
CT,0,0.0607313956319433,23.0,24.0
CT,0,0.0905370340112211,24.0,25.0
CT,0,0.1382218557105725,25.0,26.0
CT,0,0.1382218557105725,26.0,27.0
CT,0,0.2045892477357134,27.0,28.0
CT,1,0.2186730832090676,28.0,29.0
DE,0,0.0,0.0,23.0
DE,0,0.0512311512645695,23.0,24.0
DE,0,0.0517842851447615,24.0,25.0
DE,0,0.0675864441155888,25.0,26.0
DE,0,0.0675864441155888,26.0,27.0
DE,0,0.0934165894009449,27.0,28.0
DE,0,0.1592894222107145,28.0,29.0
DE,0,0.3484613802299858,29.0,30.0
DE,0,0.4233514593756225,30.0,31.0
DE,0,0.4706169182616582,31.0,32.0
DE,1,0.4706169182616582,32.0,35.0
FL,0,0.0,0.0,23.0
FL,0,0.0347656416029128,23.0,24.0
FL,0,0.0615558738969629,24.0,25.0
FL,0,0.0752541906635556,25.0,26.0
FL,0,0.0752541906635556,26.0,27.0
FL,1,0.1271300346772131,27.0,28.0
GA,0,0.0,0.0,23.0
GA,0,0.0491723665580777,23.0,24.0
GA,0,0.0711811064586875,24.0,25.0
GA,0,0.0750152765568837,25.0,26.0
GA,0,0.0750152765568837,26.0,27.0
GA,0,0.121599105106433,27.0,28.0
GA,0,0.123591498985877,28.0,29.0
GA,0,0.2721528343443306,29.0,30.0
GA,0,0.371468820824754,30.0,31.0
GA,0,0.4239295274788544,31.0,32.0
GA,0,0.4519257622856508,32.0,40.0
GA,0,0.4637807378731945,40.0,41.0
HI,0,0.0,0.0,23.0
HI,0,0.0604739171016583,23.0,24.0
HI,0,0.0915962315064048,24.0,25.0
HI,0,0.0958017313083275,25.0,26.0
HI,0,0.0958017313083275,26.0,27.0
HI,1,0.1592137000964698,27.0,28.0
IA,0,0.0,0.0,23.0
IA,0,0.1038869037802389,23.0,24.0
IA,0,0.1069407218597601,24.0,25.0
IA,0,0.1245454330670574,25.0,26.0
IA,0,0.1245454330670574,26.0,27.0
IA,0,0.1512537848442656,27.0,28.0
IA,0,0.1594201579452064,28.0,29.0
IA,0,0.3396782179487887,29.0,30.0
IA,0,0.4028747120500899,30.0,31.0
IA,0,0.4294250417808752,31.0,32.0
