id,event,w_mgpo_21_slp,start,stop
AK,0,0.0425470773762459,0.0,25.0
AK,0,0.062719241126404,25.0,26.0
AK,0,0.0774740956510788,26.0,27.0
AK,0,0.0833814190494351,27.0,28.0
AK,0,0.0833814190494351,28.0,29.0
AK,0,0.1917034063868314,29.0,30.0
AK,0,0.2135523103591809,30.0,31.0
AK,0,0.2698122749586853,31.0,32.0
AK,0,0.2698122749586853,32.0,41.0
AL,0,0.0509508649427366,0.0,25.0
AL,0,0.0839216255112872,25.0,26.0
AL,0,0.0952080625488988,26.0,27.0
AL,0,0.0975346790884051,27.0,28.0
AL,0,0.0975346790884051,28.0,29.0
AL,0,0.1048110242874678,29.0,30.0
AL,0,0.1242347155492747,30.0,31.0
AL,0,0.1492631645461982,31.0,32.0
AL,0,0.1492631645461982,32.0,41.0
AR,0,0.0188472095679952,0.0,25.0
AR,0,0.0534546586007258,25.0,26.0
AR,0,0.0705345491866704,26.0,27.0
AR,0,0.1080285649586734,27.0,28.0
AR,0,0.1080285649586734,28.0,29.0
AR,0,0.200913523973655,29.0,30.0
AR,0,0.2564813201484387,30.0,31.0
AR,0,0.2684316850219887,31.0,32.0
AR,0,0.2684316850219887,32.0,41.0
AZ,0,0.0231180060598157,0.0,25.0
AZ,0,0.0422843971994042,25.0,26.0
AZ,0,0.0970814637172106,26.0,27.0
AZ,0,0.1059699075158528,27.0,28.0
AZ,0,0.1059699075158528,28.0,29.0
AZ,0,0.1415931893213268,29.0,30.0
AZ,0,0.1536575926785857,30.0,31.0
AZ,0,0.1630929817172934,31.0,32.0
AZ,0,0.1630929817172934,32.0,41.0
CA,0,0.0372685190751054,0.0,25.0
CA,0,0.0525550582403444,25.0,26.0
CA,0,0.057516806671423,26.0,27.0
CA,0,0.0607171056034721,27.0,28.0
CA,0,0.0607171056034721,28.0,29.0
CA,0,0.1177384481607763,29.0,30.0
CA,0,0.1339029469831476,30.0,31.0
CA,0,0.170599237381101,31.0,32.0
CA,0,0.170599237381101,32.0,41.0
CO,0,0.0674881062306493,0.0,25.0
CO,0,0.071393353506097,25.0,26.0
CO,0,0.0914360125701788,26.0,27.0
CO,1,0.116681848594673,27.0,28.0
CT,0,0.0,0.0,23.0
CT,1,0.0893242673144827,23.0,24.0
DE,0,0.0658920411047227,0.0,25.0
DE,1,0.0735552847027134,25.0,26.0
FL,0,0.0742686827814651,0.0,25.0
FL,0,0.0892904841740001,25.0,26.0
FL,0,0.0922028430792432,26.0,27.0
FL,0,0.0989576871439609,27.0,28.0
FL,0,0.0989576871439609,28.0,29.0
FL,0,0.1314602612484079,29.0,30.0
FL,0,0.1422061054778498,30.0,31.0
FL,0,0.1559044222444424,31.0,32.0
FL,0,0.1559044222444424,32.0,41.0
GA,0,0.0226565991118798,0.0,25.0
GA,0,0.1160769158314769,25.0,26.0
GA,0,0.1288945855466505,26.0,27.0
GA,0,0.1568908203534468,27.0,28.0
GA,0,0.1568908203534468,28.0,29.0
GA,0,0.2484658329581399,29.0,30.0
GA,0,0.2844929555028105,30.0,31.0
GA,0,0.2883271256010067,31.0,32.0
GA,0,0.2883271256010067,32.0,41.0
HI,0,0.0504607754273223,0.0,25.0
HI,0,0.0604152409517275,25.0,26.0
HI,0,0.1104065413034717,26.0,27.0
HI,0,0.126081471221764,27.0,28.0
HI,0,0.126081471221764,28.0,29.0
HI,0,0.1539886131309537,29.0,30.0
HI,0,0.1812267598662217,30.0,31.0
HI,0,0.1854322596681445,31.0,32.0
HI,0,0.1854322596681445,32.0,41.0
IA,1,0.0,0.0,22.0
ID,0,0.0827123520820686,0.0,25.0
ID,0,0.1204013917127181,25.0,26.0
ID,0,0.1327950957040195,26.0,27.0
ID,0,0.1540087371516019,27.0,28.0
ID,0,0.1540087371516019,28.0,29.0
ID,0,0.1763539619541551,29.0,30.0
ID,0,0.1855736613515046,30.0,31.0
ID,0,0.1882300567329798,31.0,32.0
ID,0,0.1882300567329798,32.0,41.0
IL,0,0.006829873674453,0.0,25.0
IL,0,0.0483296889647038,25.0,26.0
IL,0,0.0626956823070112,26.0,27.0
IL,0,0.0818201893616046,27.0,28.0
IL,0,0.0818201893616046,28.0,29.0
IL,0,0.144890047947271,29.0,30.0
IL,0,0.1589852620160375,30.0,31.0
IL,0,0.1602799742292264,31.0,32.0
IL,0,0.1602799742292264,32.0,41.0
IN,0,0.0422974858026122,0.0,25.0
IN,0,0.1432356198377341,25.0,26.0
IN,0,0.1494450744447129,26.0,27.0
IN,0,0.1522097310859548,27.0,28.0
IN,0,0.1522097310859548,28.0,29.0
IN,0,0.1920060796381507,29.0,30.0
IN,0,0.2144353477682862,30.0,31.0
IN,0,0.2336558296162693,31.0,32.0
IN,0,0.2336558296162693,32.0,41.0
KS,0,0.0597883781484294,0.0,25.0
KS,0,0.0800928449923635,25.0,26.0
KS,0,0.1057474834852972,26.0,27.0
KS,0,0.1144847976976417,27.0,28.0
KS,0,0.1144847976976417,28.0,29.0
KS,0,0.1937028985792415,29.0,30.0
KS,0,0.1971958079372607,30.0,31.0
KS,0,0.2396763982756448,31.0,32.0
KS,0,0.2396763982756448,32.0,41.0
KY,0,0.0057475057900803,0.0,25.0
KY,0,0.0391865063643228,25.0,26.0
KY,0,0.0697691085852588,26.0,27.0
KY,0,0.1003917878006895,27.0,28.0
KY,0,0.1003917878006895,28.0,29.0
KY,0,0.2000394318773921,29.0,30.0
KY,0,0.2053912037890664,30.0,31.0
KY,0,0.2295629613326669,31.0,32.0
KY,0,0.2295629613326669,32.0,41.0
LA,0,0.0662682439332786,0.0,25.0
LA,0,0.1373281690066864,25.0,26.0
LA,0,0.1383324769078772,26.0,27.0
LA,0,0.1492158113764689,27.0,28.0
LA,0,0.1492158113764689,28.0,29.0
LA,0,0.1910897432253809,29.0,30.0
LA,0,0.2132443253655789,30.0,31.0
LA,0,0.2187297286162089,31.0,32.0
LA,0,0.2187297286162089,32.0,41.0
MA,0,0.0475805877221049,0.0,25.0
MA,0,0.0976682068352532,25.0,26.0
MA,0,0.0995574489361058,26.0,27.0
MA,0,0.107499143581816,27.0,28.0
MA,0,0.107499143581816,28.0,29.0
MA,0,0.1500862314563748,29.0,30.0
MA,0,0.1645084174842761,30.0,31.0
MA,0,0.1816913369403332,31.0,32.0
MA,0,0.1816913369403332,32.0,41.0
MD,0,0.0146272860660494,0.0,25.0
MD,0,0.0330249394676304,25.0,26.0
MD,0,0.0497637672894044,26.0,27.0
MD,0,0.0773199322559893,27.0,28.0
MD,0,0.0773199322559893,28.0,29.0
MD,0,0.1488436737587203,29.0,30.0
MD,0,0.2173479430161507,30.0,31.0
MD,0,0.2690909242131423,31.0,32.0
MD,0,0.2690909242131423,32.0,41.0
ME,0,0.0912954635464571,0.0,25.0
ME,0,0.1281528657072402,25.0,26.0
ME,0,0.197180089981178,26.0,27.0
ME,0,0.2134555993222376,27.0,28.0
ME,0,0.2134555993222376,28.0,29.0
ME,1,0.3233592625135441,29.0,30.0
MI,0,0.0407586771037327,0.0,25.0
MI,0,0.0717131083165616,25.0,26.0
MI,0,0.0776560426251664,26.0,27.0
MI,0,0.0850184267553019,27.0,28.0
MI,0,0.0850184267553019,28.0,29.0
MI,0,0.1314846789770628,29.0,30.0
MI,0,0.1356064497645315,30.0,31.0
MI,0,0.1499285874083261,31.0,32.0
MI,0,0.1499285874083261,32.0,41.0
MN,1,0.0,0.0,22.0
MO,0,0.0755434885874201,0.0,25.0
MO,0,0.0925609771257374,25.0,26.0
MO,0,0.093730739373115,26.0,27.0
MO,0,0.1819528421351578,27.0,28.0
MO,0,0.1819528421351578,28.0,29.0
MO,0,0.2326490869967152,29.0,30.0
MO,0,0.2407924704683325,30.0,31.0
MO,0,0.3143321923288893,31.0,32.0
MO,0,0.3143321923288893,32.0,41.0
MS,0,0.0707746016826183,0.0,25.0
MS,0,0.0972615227907374,25.0,26.0
MS,0,0.1167160740150803,26.0,27.0
MS,0,0.2011621487110409,27.0,28.0
MS,0,0.2011621487110409,28.0,29.0
MS,0,0.2408996998521463,29.0,30.0
MS,0,0.2478272743165647,30.0,31.0
MS,0,0.2585823202646515,31.0,32.0
MS,0,0.2585823202646515,32.0,41.0
MT,0,0.0,0.0,23.0
MT,1,0.0808692453601123,23.0,24.0
NC,0,0.0556396559774275,0.0,25.0
NC,0,0.0982987737830951,25.0,26.0
NC,0,0.2089841198054211,26.0,27.0
NC,0,0.2128195934626078,27.0,28.0
NC,0,0.2128195934626078,28.0,29.0
NC,0,0.2813390626527282,29.0,30.0
NC,0,0.3301951094688151,30.0,31.0
NC,0,0.3398108659431056,31.0,32.0
NC,0,0.3398108659431056,32.0,41.0
ND,0,0.0686828066407113,0.0,25.0
ND,0,0.1546760827853857,25.0,26.0
ND,0,0.212174419647649,26.0,27.0
ND,0,0.2238222125069542,27.0,28.0
ND,0,0.2238222125069542,28.0,29.0
ND,0,0.2493244802981589,29.0,30.0
ND,0,0.275886979041539,30.0,31.0
ND,0,0.2810654439172116,31.0,32.0
ND,0,0.2810654439172116,32.0,41.0
NE,0,0.0647845287409527,0.0,25.0
NE,0,0.1269086614754345,25.0,26.0
NE,0,0.1658125807927536,26.0,27.0
NE,0,0.1850650283586997,27.0,28.0
NE,0,0.1850650283586997,28.0,29.0
NE,0,0.2232293428996246,29.0,30.0
NE,0,0.2547689702534872,30.0,31.0
NE,0,0.2952399008083582,31.0,32.0
NE,0,0.2952399008083582,32.0,41.0
NH,0,0.1010301121807225,0.0,25.0
NH,0,0.1336611959629086,25.0,26.0
NH,0,0.1367972746918876,26.0,27.0
NH,0,0.1552789147256559,27.0,28.0
NH,0,0.1552789147256559,28.0,29.0
NH,0,0.2179638320080875,29.0,30.0
NH,0,0.2219828043178322,30.0,31.0
NH,0,0.2267420655738385,31.0,32.0
NH,0,0.2267420655738385,32.0,41.0
NJ,0,0.0411139349167325,0.0,25.0
NJ,0,0.0789716906691203,25.0,26.0
NJ,0,0.0815005742936993,26.0,27.0
NJ,0,0.1064247854802355,27.0,28.0
NJ,0,0.1064247854802355,28.0,29.0
NJ,0,0.1814829372573458,29.0,30.0
NJ,0,0.1905758586419804,30.0,31.0
NJ,0,0.1953348122565142,31.0,32.0
NJ,0,0.1953348122565142,32.0,41.0
NM,1,0.0346944823370878,0.0,25.0
NV,0,0.049176628385917,0.0,25.0
NV,0,0.0746022314512112,25.0,26.0
NV,0,0.0792062540788722,26.0,27.0
NV,0,0.1111489505109673,27.0,28.0
NV,0,0.1111489505109673,28.0,29.0
NV,0,0.158218915852033,29.0,30.0
NV,0,0.2163413166211209,30.0,31.0
NV,0,0.2638084310143254,31.0,32.0
NV,0,0.2638084310143254,32.0,41.0
NY,0,0.0854020139593902,0.0,25.0
NY,0,0.1696469748239317,25.0,26.0
NY,0,0.2163279766395248,26.0,27.0
NY,0,0.2542879614797468,27.0,28.0
NY,0,0.2542879614797468,28.0,29.0
NY,0,0.3254795054774327,29.0,30.0
NY,0,0.3341100048287615,30.0,31.0
NY,0,0.3389552202530944,31.0,32.0
NY,0,0.3389552202530944,32.0,41.0
OH,0,0.0931920787097788,0.0,25.0
OH,0,0.1063620618813754,25.0,26.0
OH,0,0.1251787751764578,26.0,27.0
OH,0,0.1516669419929531,27.0,28.0
OH,0,0.1516669419929531,28.0,29.0
OH,0,0.2235910018149108,29.0,30.0
OH,0,0.2553616410390069,30.0,31.0
OH,0,0.3132480686061603,31.0,32.0
OH,0,0.3132480686061603,32.0,41.0
OK,0,0.0828145071150705,0.0,25.0
OK,0,0.1447974919339236,25.0,26.0
OK,0,0.154120725113332,26.0,27.0
OK,0,0.1717261723009776,27.0,28.0
OK,0,0.1717261723009776,28.0,29.0
OK,0,0.2677819550650112,29.0,30.0
OK,0,0.2922621386614514,30.0,31.0
OK,0,0.3057815663732915,31.0,32.0
OK,0,0.3057815663732915,32.0,41.0
OR,0,0.0725681696739626,0.0,25.0
OR,0,0.0874612805973961,25.0,26.0
OR,0,0.097427878444687,26.0,27.0
OR,1,0.1260687765691154,27.0,28.0
PA,0,0.0711906101951072,0.0,25.0
PA,0,0.0984050712880074,25.0,26.0
PA,0,0.1008293120999998,26.0,27.0
PA,0,0.1174716077035075,27.0,28.0
PA,0,0.1174716077035075,28.0,29.0
PA,0,0.1419833708447229,29.0,30.0
PA,0,0.1422643879995374,30.0,31.0
PA,0,0.1422716059682971,31.0,32.0
PA,0,0.1422716059682971,32.0,41.0
RI,0,0.0248770212968205,0.0,25.0
RI,0,0.0565043920123202,25.0,26.0
RI,0,0.059048445651758,26.0,27.0
RI,0,0.0606652408541884,27.0,28.0
RI,0,0.0606652408541884,28.0,29.0
RI,0,0.0806872499396058,29.0,30.0
RI,0,0.0838307717771674,30.0,31.0
RI,0,0.1119088911360126,31.0,32.0
RI,0,0.1119088911360126,32.0,41.0
SC,0,0.0436852357292506,0.0,25.0
SC,0,0.0546789514276605,25.0,26.0
SC,0,0.1115366390516791,26.0,27.0
SC,0,0.1514885601003619,27.0,28.0
SC,0,0.1514885601003619,28.0,29.0
SC,0,0.2036156465287767,29.0,30.0
SC,0,0.2198588121504639,30.0,31.0
SC,0,0.2274332897864976,31.0,32.0
SC,0,0.2274332897864976,32.0,41.0
SD,0,0.0295472424247904,0.0,25.0
SD,0,0.0884151305948697,25.0,26.0
SD,0,0.0946222216081606,26.0,27.0
SD,0,0.1116303212401268,27.0,28.0
SD,0,0.1116303212401268,28.0,29.0
SD,0,0.1889557736908254,29.0,30.0
SD,0,0.1925640153947365,30.0,31.0
SD,0,0.2015855265634719,31.0,32.0
SD,0,0.2015855265634719,32.0,41.0
TN,0,0.0341696505255295,0.0,25.0
TN,0,0.151812021915778,25.0,26.0
TN,0,0.1776967038320761,26.0,27.0
TN,0,0.2301700915249827,27.0,28.0
TN,0,0.2301700915249827,28.0,29.0
TN,0,0.277528838204594,29.0,30.0
TN,0,0.3288261117256684,30.0,31.0
TN,0,0.332193359057036,31.0,32.0
TN,0,0.332193359057036,32.0,41.0
TX,0,0.0967319992157344,0.0,25.0
TX,0,0.1117432705103406,25.0,26.0
TX,0,0.1552191660614515,26.0,27.0
TX,0,0.1555003347060645,27.0,28.0
TX,0,0.1555003347060645,28.0,29.0
TX,0,0.1891559278949433,29.0,30.0
TX,0,0.1947034048877367,30.0,31.0
TX,0,0.2125964512747043,31.0,32.0
TX,0,0.2125964512747043,32.0,41.0
UT,0,0.1130906026845727,0.0,25.0
UT,0,0.1825639810785296,25.0,26.0
UT,0,0.2054965088654661,26.0,27.0
UT,0,0.2261757381811244,27.0,28.0
UT,0,0.2261757381811244,28.0,29.0
UT,0,0.2559128086203721,29.0,30.0
UT,0,0.2588102529878555,30.0,31.0
UT,0,0.2687895613689693,31.0,32.0
UT,0,0.2687895613689693,32.0,41.0
VA,0,0.0704891904720121,0.0,25.0
VA,0,0.1022734801902193,25.0,26.0
VA,0,0.1152391244903037,26.0,27.0
VA,1,0.1192671827854467,27.0,28.0
VT,0,0.0650031687015894,0.0,25.0
VT,0,0.0820034007532619,25.0,26.0
VT,0,0.1300606815269276,26.0,27.0
VT,0,0.154455962699995,27.0,28.0
VT,1,0.154455962699995,28.0,29.0
WA,1,0.0,0.0,22.0
WI,0,0.05915990467131,0.0,25.0
WI,0,0.0822406606734696,25.0,26.0
WI,0,0.0863556896458287,26.0,27.0
WI,0,0.1036142322057911,27.0,28.0
WI,0,0.1036142322057911,28.0,29.0
WI,0,0.1292690986003937,29.0,30.0
WI,0,0.1455782383185929,30.0,31.0
WI,0,0.1567709181709974,31.0,32.0
WI,0,0.1567709181709974,32.0,41.0
WV,0,0.0591396444053894,0.0,25.0
WV,0,0.0603891829519139,25.0,26.0
WV,0,0.0617264285878556,26.0,27.0
WV,0,0.1108915385066696,27.0,28.0
WV,0,0.1108915385066696,28.0,29.0
WV,0,0.1596340141224669,29.0,30.0
WV,0,0.168273739908907,30.0,31.0
WV,0,0.1875745348619528,31.0,32.0
WV,0,0.1875745348619528,32.0,41.0
WY,0,0.0452466043651468,0.0,25.0
WY,0,0.0730965521719709,25.0,26.0
WY,0,0.0848359451975649,26.0,27.0
WY,0,0.1026880702442612,27.0,28.0
WY,0,0.1026880702442612,28.0,29.0
WY,0,0.1777583663407492,29.0,30.0
WY,0,0.1938520889145046,30.0,31.0
WY,0,0.213627352249083,31.0,32.0
WY,0,0.213627352249083,32.0,41.0
