policy,policy_long
environment_CA_car_emissions_standards_21,CA Car Emissions Standard
climate_action_plan_21,Climate action plan
community_solar,Community Solar
w_complete_streets_21,Complete Streets Policies
w4_electric_decoupling_21,Electric decoupling
ghg_standards_21,Emissions performance standards
x_eers,Energy efficiency resource standard (continuous)
w_ee_21,Energy efficiency target
public_building_standards,Environmental Building Standards
w_environment_state_nepas_21,Environmental Policy Act
fgd_21,Fuel generation mix disclosure
w_ghg_targets_21,GHG target
w4_gas_decoupling_21,Gas decoupling
z_gasoline_tax,Gas tax
environment_ghg_cap_21,Greenhouse Gas Cap
w_gg_rr_21,Greenhouse gas registry/ reporting
w_low_income_ee_21,Low-income energy efficiency programs
w_mgpo_21,Mandatory green power option
netmeter_yearadopted_21,On-site renewable generation
pace_21,PACE authorization
environment_publicbenefit_funds_21,Public Benefit Fund
x_RPS_targets_bindingonly,RPS target (binding only)
w4_environment_state_rps_21,Renewable Portfolio Standard
w_Environment_Solar_TaxCredit_21,Solar Tax Credit
environment_preemption_naturalgasbans,State preemption of local gas bans
environment_utility_deregulation_21,Environmental utility deregulation
