year,stateabbr,solar_capacity,total_capacity
1990,AL,0.0,21802.2
1991,AL,0.0,22047.42
1992,AL,0.0,22050.02
1993,AL,0.0,22245.2
1994,AL,0.0,22386.32
1995,AL,0.0,22823.59
1996,AL,0.0,23303.13
1997,AL,0.0,23383.88
1998,AL,0.0,23715.28
1999,AL,0.0,24019.8
2000,AL,0.0,25307.0
2001,AL,0.0,25428.0
2002,AL,0.0,28577.0
2003,AL,0.0,32831.0
2004,AL,0.0,33248.0
2005,AL,0.0,33228.0
2006,AL,0.0,33228.0
2007,AL,0.0,33230.0
2008,AL,0.0,33936.0
2009,AL,0.0,34021.0
2010,AL,0.0,35288.0
2011,AL,0.0,35506.4
2012,AL,0.0,35493.5
2013,AL,0.0,35101.7
2014,AL,0.0,34495.4
2015,AL,0.0,32848.5
2016,AL,75.0,31278.9
2017,AL,182.2,31453.8
2018,AL,196.9,31681.1
2019,AL,196.9,30461.3
2020,AL,196.9,29931.3
2021,AL,423.9,30228.4
2022,AL,423.9,30514.9
1990,AK,0.0,2070.01
1991,AK,0.0,2046.98
1992,AK,0.0,2184.04
1993,AK,0.0,2223.64
1994,AK,0.0,2253.22
1995,AK,0.0,2236.6
1996,AK,0.0,2239.66
1997,AK,0.0,2257.23
1998,AK,0.0,2257.35
1999,AK,0.0,2258.2
2000,AK,0.0,2328.0
2001,AK,0.0,2278.0
2002,AK,0.0,2244.0
2003,AK,0.0,2126.0
2004,AK,0.0,2016.0
2005,AK,0.0,2035.0
2006,AK,0.0,2049.0
2007,AK,0.0,2163.0
2008,AK,0.0,2190.0
2009,AK,0.0,2212.0
2010,AK,0.0,2261.0
2011,AK,0.0,2261.2
2012,AK,0.0,2322.1
2013,AK,0.0,2589.8
2014,AK,0.0,2702.2
2015,AK,0.0,2806.8
2016,AK,0.0,3010.3
2017,AK,0.0,3020.4
2018,AK,0.0,3015.6
2019,AK,0.0,3031.3
2020,AK,0.0,3032.6
2021,AK,0.8,3040.4
2022,AK,0.8,3077.1
1990,AZ,0.0,16605.55
1991,AZ,0.0,16596.88
1992,AZ,0.0,16714.88
1993,AZ,0.0,16738.31
1994,AZ,0.0,16857.7
1995,AZ,0.0,16862.5
1996,AZ,0.0,16806.38
1997,AZ,0.2,16814.38
1998,AZ,0.16,16728.5
1999,AZ,0.57,16724.05
2000,AZ,1.0,16697.0
2001,AZ,1.0,18347.0
2002,AZ,1.0,21531.0
2003,AZ,8.0,26187.0
2004,AZ,8.0,27259.0
2005,AZ,9.0,28007.0
2006,AZ,9.0,28741.0
2007,AZ,9.0,28730.0
2008,AZ,9.0,29034.0
2009,AZ,11.0,29548.0
2010,AZ,21.0,29623.0
2011,AZ,131.2,30472.6
2012,AZ,648.8,31233.2
2013,AZ,1164.4,31520.9
2014,AZ,1402.6,31759.4
2015,AZ,1515.6,31578.0
2016,AZ,1889.5,31952.5
2017,AZ,2058.6,32141.6
2018,AZ,2067.3,32162.3
2019,AZ,2158.0,30320.3
2020,AZ,2411.9,30601.4
2021,AZ,2810.8,31004.3
2022,AZ,3026.8,31308.8
1990,AR,0.0,10204.92
1991,AR,0.0,10307.27
1992,AR,0.0,10309.98
1993,AR,0.0,10346.38
1994,AR,0.0,10347.98
1995,AR,0.0,10313.48
1996,AR,0.0,10270.78
1997,AR,0.0,10228.61
1998,AR,0.0,10294.28
1999,AR,0.0,10220.97
2000,AR,0.0,10174.0
2001,AR,0.0,10622.0
2002,AR,0.0,11916.0
2003,AR,0.0,14472.0
2004,AR,0.0,14472.0
2005,AR,0.0,14967.0
2006,AR,0.0,15377.0
2007,AR,0.0,16462.0
2008,AR,0.0,16461.0
2009,AR,0.0,16474.0
2010,AR,0.0,17242.0
2011,AR,0.0,17215.1
2012,AR,0.0,18022.9
2013,AR,0.0,16357.7
2014,AR,0.0,16357.7
2015,AR,12.0,16366.2
2016,AR,13.0,16341.8
2017,AR,19.0,16332.8
2018,AR,100.0,16413.8
2019,AR,112.2,16368.2
2020,AR,213.7,16469.7
2021,AR,223.7,16461.7
