stateabbr,direct,indirect
AL,294.36652565438,298.6789865964438
AK,218.73584984814147,48.07077642651802
AZ,196.39827363978293,277.85597429497466
AR,199.3938026192825,318.29722133874566
CA,777.2160075252041,224.61298306122808
CO,244.90893142589061,326.446546374038
CT,152.35057129591655,296.4806889788679
DE,29.611824775261027,329.90038292074314
FL,607.424396438365,269.1245039279893
GA,239.7508131622244,266.7923440127488
HI,35.358867906244086,202.43384135264932
ID,99.76447536817977,272.87723425628246
IL,397.35387419997505,323.78505420280453
IN,396.9436944806421,317.85411517137527
IA,226.50984170131824,311.6382530275059
KS,164.98139451362294,345.5067942542519
KY,230.94703144673258,322.8298963684183
LA,603.2237035033759,288.9071277038611
ME,31.150556040081682,254.0745650897943
MD,105.77397869239303,296.47943930763176
MA,115.29102455993018,325.5776977278447
MI,409.76679563697553,289.0901399883269
MN,197.0098627422874,285.102810707288
MS,213.46057009208243,304.88726496122945
MO,356.6294625513019,304.7082385974818
MT,68.26343828819324,276.3913325725498
NE,139.8479197390485,314.89871486756056
NV,120.86666235816631,302.3972333370248
NH,37.8295221863703,284.9514801026453
NJ,162.53152510151654,290.5820250006582
NM,120.08479672022077,276.3069154487439
NY,373.8860555124229,295.56590875140046
NC,286.3227493630302,315.34141672533497
ND,202.26118734919373,274.2988969766402
OH,515.6743791318477,311.47455187556716
OK,208.16990047735703,347.0908278302113
OR,134.09340131498482,257.72099664304733
PA,641.9788506906207,318.17002278263953
RI,48.92132536837846,321.9323375430513
SC,193.42688768110543,278.86647755772356
SD,54.01680847865157,290.4773150079973
TN,220.24874660690352,330.3376121401079
TX,2222.775360017449,257.1045922946041
UT,243.86446660558408,261.78099269760787
VT,15.11278735306459,308.9803702961435
VA,212.95650156541979,302.11292540775867
WA,185.43429357703735,253.92918953134176
WV,227.0100961759913,361.7428708252228
WI,266.706057828088,308.6826973509269
WY,118.91355083202438,262.5749115655799
