stateabbr,direct,indirect
AL,10.1088,11.377853599999952
AK,10.1088,1.783509439999989
AZ,10.1088,10.607678240000013
AR,10.1088,11.770300959999986
CA,10.1088,9.54144703999998
CO,10.1088,12.456538559999984
CT,10.108800000000002,12.241686399999992
DE,10.108800000000002,13.193577600000026
FL,10.108800000000002,10.54337744
GA,10.1088,10.404379200000022
HI,10.1088,7.931041759999999
ID,10.1088,10.982747520000004
IL,10.1088,12.558327680000048
IN,10.1088,12.358657119999975
IA,10.1088,11.71680144000004
KS,10.1088,12.601312320000034
KY,10.1088,12.296187999999972
LA,10.1088,10.906774720000044
ME,10.1088,10.51308560000001
MD,10.1088,11.877366880000011
MA,10.1088,13.945667200000031
MI,10.1088,11.315916800000053
MN,10.1088,11.297560799999957
MS,10.1088,11.45054399999998
MO,10.1088,11.723582239999956
MT,10.1088,11.207316160000005
NE,10.1088,12.342076480000003
NV,10.108799999999999,11.40160063999997
NH,10.1088,11.876586880000048
NJ,10.1088,11.774950400000023
NM,10.108800000000002,10.199495360000014
NY,10.108800000000002,12.118354399999987
NC,10.1088,11.97745359999999
ND,10.1088,10.996098879999977
OH,10.108800000000002,11.87553312
OK,10.108800000000002,12.299134399999957
OR,10.108800000000002,10.127236959999976
PA,10.1088,13.000008640000004
RI,10.1088,13.779391840000017
SC,10.1088,11.039032640000016
SD,10.108800000000002,11.638000799999986
TN,10.108800000000002,12.139080960000058
TX,10.1088,10.782700960000057
UT,10.108800000000002,10.714089600000023
VT,10.108800000000002,13.25061199999999
VA,10.1088,12.24890591999997
WA,10.1088,10.148659039999984
WV,10.1088,13.611269440000058
WI,10.1088,11.786398400000024
WY,10.1088,10.388825920000045
