stateabbr,direct,indirect
AL,10.108799999999993,11.37785359999998
AK,10.108800000000002,1.783509439999989
AZ,10.108799999999977,10.607678239999984
AR,10.108799999999997,11.770300959999958
CA,10.108799999999999,9.541447040000008
CO,10.10879999999997,12.456538560000013
CT,10.108799999999974,12.241686399999992
DE,10.108799999999984,13.19357759999997
FL,10.108799999999965,10.543377440000029
GA,10.108799999999984,10.404379199999994
HI,10.108799999999997,7.931041760000028
ID,10.10879999999999,10.982747519999975
IL,10.108799999999992,12.55832768000002
IN,10.108799999999986,12.35865712000006
IA,10.108799999999997,11.716801439999983
KS,10.108799999999968,12.601312319999977
KY,10.108799999999977,12.296187999999972
LA,10.108799999999986,10.906774720000016
ME,10.108799999999963,10.51308560000001
MD,10.108799999999986,11.877366879999954
MA,10.108799999999963,13.945667199999974
MI,10.108799999999983,11.315916800000025
MN,10.108799999999974,11.297560799999985
MS,10.108799999999977,11.450544000000008
MO,10.108799999999995,11.723582239999985
MT,10.108799999999999,11.207316160000033
NE,10.108799999999983,12.342076480000031
NV,10.108799999999972,11.401600640000026
NH,10.108799999999983,11.87658687999999
NJ,10.108799999999974,11.774950399999994
NM,10.108799999999972,10.199495360000014
NY,10.108799999999993,12.118354399999987
NC,10.108799999999981,11.97745359999999
ND,10.1088,10.996098880000005
OH,10.108799999999981,11.875533120000028
OK,10.108799999999972,12.299134400000042
OR,10.108799999999986,10.127236960000005
PA,10.108799999999965,13.000008640000033
RI,10.108799999999986,13.779391839999988
SC,10.10879999999997,11.039032639999988
SD,10.108799999999993,11.638000800000015
TN,10.108799999999983,12.139080960000001
TX,10.108799999999974,10.782700960000057
UT,10.108799999999963,10.714089599999994
VT,10.108799999999984,13.250611999999961
VA,10.108799999999997,12.24890591999997
WA,10.108799999999993,10.148659039999927
WV,10.1088,13.61126944000003
WI,10.108799999999984,11.786398399999996
WY,10.108799999999981,10.388825919999988
