stateabbr,capacity_direct,capacity_indirect,emissions_direct,emissions_indirect
AL,22849.557120000012,10845.81859481614,679865722.54848,271305183.27967834
AK,2304.1324800000007,2943.3931350079365,17067746.138976,73892691.10811996
AZ,23444.02944000001,9587.739206048194,771613340.9587201,223249719.34697533
AR,12409.188480000006,11777.338898656075,390381280.85174406,286768459.3966675
CA,68180.41152000004,6801.519715904025,888772572.410112,155340241.12799835
CO,14842.189440000007,12515.61157113593,385130326.355424,306448204.4857464
CT,8124.330240000003,10892.36427884805,72969078.267072,239455412.04325485
DE,2576.6208000000015,12787.451702879975,10943166.199680002,300323332.7657051
FL,54657.68256000003,9129.432816128014,1457015309.770176,217431502.00201988
GA,29209.789440000015,9076.325215872028,784997025.8158082,220139183.75180435
HI,2346.888960000001,5676.341197952046,58464641.671488,113823105.20985985
ID,4092.3417600000016,9570.198906143894,35821904.361984,215165244.47941208
IL,36674.20224000002,11834.29102736013,889648299.0682561,289468118.94613266
IN,22136.92416000001,12057.388615264092,535446814.73587203,289275278.4030533
IA,17828.70336000001,11353.273372319993,370297711.61136,277037382.16680145
KS,14693.253120000008,13607.282269055955,422107775.63136005,335957047.7547169
KY,15685.263360000008,12147.216944319895,127622361.06547204,304928390.1994076
LA,21359.59488000001,10672.330189408036,473881836.0481921,262982203.27565575
ME,4020.906240000002,8517.269571391982,34680919.455936,188813053.51051712
MD,9793.854720000007,10804.753752832068,189070365.3696,250888390.59797287
MA,10735.545600000005,12460.565203072038,97074023.97888,278416746.21593475
MI,24444.80064000001,10178.726364511997,417489083.410464,245140551.1250038
MN,15067.353600000006,9977.54444860795,349863950.592,234241016.94831085
MS,12254.711040000006,11037.045090047992,272593179.63820803,274679482.269186
MO,17237.00160000001,11131.375085792039,406177014.95280004,275446525.20113754
MT,4947.546240000002,9952.575858784025,131246032.8816,219754092.95306587
NE,8501.201280000005,12112.111723743961,212604417.51120004,290034909.36715317
NV,11201.673600000004,11210.996979967924,411930344.9664001,253699662.81967735
NH,3529.6934400000014,10267.116127456073,82902968.73331201,228082765.49827385
NJ,13599.331200000006,10405.39168668806,114927947.9712,234405335.1706276
NM,8122.608000000004,9421.257749599987,264323878.88400003,229692315.09223938
NY,31888.247040000017,10674.733383775922,245293962.705792,256569381.7056408
NC,28870.50816000001,11693.470088031958,754442675.711712,290149785.01210785
ND,7394.549760000004,9633.943115968024,196158918.75840005,226157299.6517067
OH,22539.029760000012,11662.621301376028,606028305.2353921,283895045.1192589
OK,24950.91456000001,13149.851763391984,599604160.611456,332761596.395504
OR,13459.455360000007,8712.042553503881,163623233.94768003,188539760.83547974
PA,39750.19776000002,11914.943701503915,746288100.335232,280184063.531477
RI,1743.5059200000007,12685.532284960034,14494287.764736,272290283.4965515
SC,19641.847680000006,10161.443071712041,499782885.84806406,246708134.05864716
SD,5058.518400000003,10398.891922848066,142575858.65952003,238271000.07136536
TN,18092.13120000001,12372.057903936016,475908988.18320006,312394872.73456955
TX,119362.91328000005,8977.329209920019,3319321478.3838725,207333319.41379547
UT,7820.467200000005,9109.23699398397,275258548.13184,206237194.23484993
VT,665.6083200000003,12057.344185376074,0.0,261037196.73391724
VA,23105.34720000001,11166.570485088043,528770491.74144006,269157728.15841866
WA,23684.244480000012,8295.734281087993,147047184.49075198,190483152.46445656
WV,11755.710720000005,14449.302392031997,269031790.969344,360263423.75951004
WI,13580.611200000007,11338.690831904067,200370374.73648006,277731748.26177406
WY,8529.880320000004,8811.567673983984,243031217.60736004,207435917.13551903
