stateabbr,capacity_direct,capacity_indirect,emissions_direct,emissions_indirect
AL,24134.678326595058,11532.2003294694,718103218.9295094,336069665.2314606
AK,2308.2924800000014,3320.275153450668,17098561.130976006,92444905.72034073
AZ,28077.69219205018,10102.192941628397,944793502.3772583,277206243.05926704
AR,14023.380911916145,12791.661078455974,441162241.2770155,347223943.7025833
CA,72166.03157829851,7468.63531181647,1187819779.9291286,190691861.20680618
CO,18360.312668028564,13556.45906514558,490334559.5162618,378861449.5032387
CT,9348.675825496062,11928.468578994623,83965599.3604842,293185666.3163452
DE,2883.1314623235567,13990.105730100186,12244947.633634381,369172972.6178398
FL,65910.86246332107,9715.909056441276,2103320136.1059046,263194748.2255745
GA,34830.43607127345,9889.220120919636,1109527123.7665334,270705437.2692375
HI,2761.4900043819734,6076.969776406651,82917966.30692472,140303227.32851028
ID,4662.740528899315,10231.231653957511,40814832.94566725,264486849.48970032
IL,41175.11014656776,12772.760257670307,998831998.2019622,349197740.60895157
IN,24368.771806186116,13139.303667921107,589430634.0094393,349802419.60193634
IA,19140.484280800243,12458.085236777435,397543073.39115083,338370320.7688408
KS,14858.35824640396,14935.245117062004,426850915.70269305,415830622.0796509
KY,15988.801546362789,13242.33398483321,130092084.3419035,372070166.1641693
LA,22001.130391010916,11550.915191150736,488114878.7419293,326470262.74578476
ME,5013.592450082398,9183.576416638214,47179396.31509914,230864829.41037178
MD,11683.842183964198,11696.55528363958,225556573.3614289,304348152.82951164
MA,12950.522392448667,13660.242932329536,123381183.52228895,341491050.3369751
MI,27745.334226583116,11172.977275235578,473858401.4556788,297306321.0916977
MN,18144.38099049257,10883.044057928491,421312526.59923744,284192041.78793716
MS,13147.420322978145,12126.3271447476,292450560.2933097,336500111.01708984
MO,17466.09573910487,12064.902691988274,411575446.5202019,335432377.29683304
MT,4945.674487531025,10573.131617466104,131196379.96797927,265453067.17513275
NE,8616.584533354475,13308.389947692864,215490008.44852868,351790750.84477997
NV,11298.339648171179,11650.060560387792,540179092.1061654,317459718.33086777
NH,3542.173439999994,11355.200982672046,83196090.23731185,279733453.57533264
NJ,15901.61148719124,11289.495753238094,134384518.6782531,287745246.37286186
NM,9342.705897017138,10154.114941183827,304027999.6242575,286683076.6328144
NY,38237.711271069464,11516.932831881102,294135946.4104476,312673178.15238
NC,31982.67073862422,12605.086269501364,1025137129.0551317,360437970.8996315
ND,7394.549760000004,10253.952203377383,196158918.75840005,276134903.96102905
OH,24715.969082783828,12582.591708922177,664561740.8994375,349228657.3022709
OK,25076.39961129769,14653.530036121374,602619735.7989585,414013470.47644806
OR,16440.00463342543,9118.91677172645,199857026.32739457,233667516.94745255
PA,40359.5031849749,13066.097315318766,757727474.5711517,343081500.6348171
RI,2021.8202994632265,14063.225189552759,22015612.75284651,332179642.54037476
SC,24675.2472558386,10750.217378427275,640635010.3321112,304388039.5456619
SD,5056.2004014552895,11305.749636918888,142510525.1751378,288336223.917778
TN,19491.506181964538,13419.048386259936,512719197.2400317,385236014.2245102
TX,146052.30434881544,9337.93860539177,4628220771.010905,247205374.29450226
UT,8775.239918458874,9679.264955210732,370976841.9035809,251666313.65789986
VT,738.8390990291261,13334.290295562707,0.0,316038733.01223755
VA,27523.202494996214,12096.581761698239,768815246.0808141,324521449.0840473
WA,24661.338403943133,8608.947530434234,153113618.68164155,233803893.77052498
WV,11755.710720000005,15792.323402177775,269031790.969344,445369927.0646343
WI,17211.54276524244,12239.913182889577,258064055.20075825,337896021.30394745
WY,9008.280319999982,9278.02080026432,256661670.80735955,256149099.74838066
