stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,294.36652565438,120.41891426593975,294.36652565438,0.0,7977.632766679715,7857.213852413775
AK,218.73584984814147,124.41607531704994,218.73584984814147,0.0,8028.102040714494,7903.685965397444
AZ,196.39827363978293,114.6174865344492,196.39827363978293,0.0,7926.4292751482435,7811.811788613794
AR,199.3938026192825,122.80709112403656,199.3938026192825,0.0,8005.646923947592,7882.839832823555
CA,777.2160075252041,20.368008295847176,777.2160075252041,0.0,7253.841615401916,7233.473607106069
CO,244.90893142589061,19.460485503463133,244.90893142589061,0.0,7776.501740384681,7757.041254881218
CT,152.35057129591655,22.841260791286004,152.35057129591655,0.0,7824.16339552572,7801.322134734434
DE,29.611824775261027,23.15230789816451,29.611824775261027,0.0,7944.807558404875,7921.65525050671
FL,607.424396438365,112.16621077592117,607.424396438365,0.0,7576.549386248772,7464.383175472851
GA,239.7508131622244,116.64135422863819,239.7508131622244,0.0,7922.451067114127,7805.809712885489
HI,35.358867906244086,21.368209406851747,35.358867906244086,0.0,7954.74129636831,7933.373086961458
ID,99.76447536817977,122.14528946993141,99.76447536817977,0.0,8006.686512447484,7884.541222977553
IL,397.35387419997505,17.20673949104912,397.35387419997505,0.0,7646.08699445544,7628.880254964391
IN,396.9436944806421,113.05514217837572,396.9436944806421,0.0,7828.657921388054,7715.602779209678
IA,226.50984170131824,121.9236277535274,226.50984170131824,0.0,7869.40471616851,7747.481088414983
KS,164.98139451362294,119.60330847306705,164.98139451362294,0.0,7938.846069515123,7819.242761042056
KY,230.94703144673258,118.62729268052954,230.94703144673258,0.0,8000.58053645199,7881.953243771461
LA,603.2237035033759,118.47257951559095,603.2237035033759,0.0,7826.411816861824,7707.939237346233
ME,31.150556040081682,22.67284701276185,31.150556040081682,0.0,7939.644442176989,7916.971595164227
MD,105.77397869239303,22.12700173094072,105.77397869239303,0.0,7902.699809391441,7880.5728076605
MA,115.29102455993018,23.860097733524526,115.29102455993018,0.0,7877.442639196079,7853.582541462554
MI,409.76679563697553,120.67695569634907,409.76679563697553,0.0,7694.903061780103,7574.226106083754
MN,197.0098627422874,73.59265148195118,197.0098627422874,0.0,7812.564563532232,7738.9719120502805
MS,213.46057009208243,124.1076243431653,213.46057009208243,0.0,8010.9818651236055,7886.87424078044
MO,356.6294625513019,113.53576082010113,356.6294625513019,0.0,7829.976827645692,7716.4410668255905
MT,68.26343828819324,120.71139024774766,68.26343828819324,0.0,8039.8117264111515,7919.100336163404
NE,139.8479197390485,0.0,139.8479197390485,0.0,7918.801002506333,7918.801002506333
NV,120.86666235816631,19.894890016402314,120.86666235816631,0.0,7886.584727801642,7866.689837785239
NH,37.8295221863703,22.905114100314677,37.8295221863703,0.0,7944.394502193336,7921.489388093021
NJ,162.53152510151654,21.58452558117733,162.53152510151654,0.0,7817.040951218737,7795.45642563756
NM,120.08479672022077,19.202386412915075,120.08479672022077,0.0,7912.417055939002,7893.214669526087
NY,373.8860555124229,23.167941315377902,373.8860555124229,0.0,7619.514755054595,7596.346813739217
NC,286.3227493630302,114.0763650648405,286.3227493630302,0.0,7811.930846305393,7697.854481240553
ND,202.26118734919373,118.06708010911734,202.26118734919373,0.0,8019.1091287295085,7901.042048620391
OH,515.6743791318477,114.89765591310515,515.6743791318477,0.0,7684.158224273868,7569.260568360763
OK,208.16990047735703,121.92618697323451,208.16990047735703,0.0,8020.774243741485,7898.848056768251
OR,134.09340131498482,21.86633375056408,134.09340131498482,0.0,7848.5769238686535,7826.710590118089
PA,641.9788506906207,115.15165003230777,641.9788506906207,0.0,7554.78985521242,7439.638205180112
RI,48.92132536837846,23.01166771044609,48.92132536837846,0.0,7919.041699807881,7896.030032097435
SC,193.42688768110543,118.14530850416668,193.42688768110543,0.0,7927.703473892397,7809.55816538823
SD,54.01680847865157,121.0208087352512,54.01680847865157,0.0,7986.387429909983,7865.366621174732
TN,220.24874660690352,120.1486000959585,220.24874660690352,0.0,7964.359161742347,7844.210561646389
TX,2222.775360017449,92.81096847986555,2222.775360017449,0.0,7132.148790639491,7039.337822159626
UT,243.86446660558408,121.48627183249937,243.86446660558408,0.0,7964.882333060167,7843.396061227668
VT,15.11278735306459,22.737966605621295,15.11278735306459,0.0,7966.853891691276,7944.115925085654
VA,212.95650156541979,21.086888430197178,212.95650156541979,0.0,7799.887726856899,7778.800838426701
WA,185.43429357703735,21.627520544783692,185.43429357703735,0.0,7813.769362323751,7792.141841778967
WV,227.0100961759913,124.3456851091978,227.0100961759913,0.0,8013.697489439355,7889.351804330157
WI,266.706057828088,119.18539173967474,266.706057828088,0.0,7806.710108970651,7687.524717230976
WY,118.91355083202438,123.1043570803804,118.91355083202438,0.0,8027.237194914914,7904.132837834533
