stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,350.59502352260506,161.25874750216553,350.59502352260506,0.0,8095.458024838119,7934.199277335953
AK,125.81315881023374,164.88584472432285,125.81315881023374,0.0,8161.86252612726,7996.976681402937
AZ,268.4445290809615,155.93669756831605,268.4445290809615,0.0,8011.240248279607,7855.303550711291
AR,200.52482895204344,160.54804046205936,200.52482895204344,0.0,8121.831563576045,7961.283523113985
CA,1047.9039448461626,34.53314699807379,1047.9039448461626,0.0,7065.8673853513355,7031.334238353262
CO,276.2067805242664,35.10858794357682,276.2067805242664,0.0,7812.444569312285,7777.335981368708
CT,118.37433451039988,40.55402792785026,118.37433451039988,0.0,7901.3031463680045,7860.749118440154
DE,42.04552865123492,40.58467974113137,42.04552865123492,0.0,7977.12033346957,7936.535653728439
FL,731.9156256749584,148.5872123904901,731.9156256749584,0.0,7655.525536304017,7506.938323913527
GA,401.3730850475581,158.50377428103093,401.3730850475581,0.0,7966.866495307645,7808.362721026614
HI,55.95289582048957,36.12482825113511,55.95289582048957,0.0,7989.6702826514465,7953.545454400311
ID,66.3025644115628,160.21122339723024,66.3025644115628,0.0,8101.1553692817115,7940.944145884481
IL,595.7527982736519,27.564824805233002,595.7527982736519,0.0,7566.203556111358,7538.638731306125
IN,538.1827667358075,148.54156784453153,538.1827667358075,0.0,7911.380679236321,7762.83911139179
IA,236.42524187732874,153.66114439985085,236.42524187732874,0.0,7966.662418697788,7813.001274297937
KS,193.4094317956808,155.6638813326399,193.4094317956808,0.0,8039.634518570956,7883.970637238316
KY,359.974410683265,159.5304787426203,359.974410683265,0.0,8089.038481960579,7929.5080032179585
LA,609.9835925863772,156.86455715070315,609.9835925863772,0.0,8012.927277840665,7856.062720689962
ME,46.573508659829486,37.341016694703285,46.573508659829486,0.0,7975.443372952517,7938.102356257814
MD,170.12267746576617,36.77627093702631,170.12267746576617,0.0,7881.267326756847,7844.491055819821
MA,181.44262748725237,40.249871777094086,181.44262748725237,0.0,7858.427453487749,7818.1775817106545
MI,478.0253180501941,151.01968223351832,478.0253180501941,0.0,7779.903221044313,7628.883538810795
MN,269.09138336790375,96.7098435204216,269.09138336790375,0.0,7809.936021846688,7713.226178326267
MS,204.08252753022498,162.07569134599635,204.08252753022498,0.0,8122.449636315019,7960.373944969023
MO,378.4097578611145,154.82856512059698,378.4097578611145,0.0,7954.930139594979,7800.101574474382
MT,92.17673588924583,157.9931286350502,92.17673588924583,0.0,8132.748549993827,7974.755421358776
NE,152.65761171832992,0.0,152.65761171832992,0.0,7956.72613855276,7956.72613855276
NV,127.4302945275889,34.50586276818376,127.4302945275889,0.0,7946.046991306389,7911.541128538205
NH,43.015810081648056,37.30765365032221,43.015810081648056,0.0,7993.800432727234,7956.492779076912
NJ,288.1735848326948,36.79078086801928,288.1735848326948,0.0,7748.388302651706,7711.597521783687
NM,148.45305885320636,32.709517759796654,148.45305885320636,0.0,7926.4803014643985,7893.770783704602
NY,504.546343814819,39.41830957514776,504.546343814819,0.0,7546.533589829369,7507.115280254221
NC,373.8817778525199,153.83966942359257,373.8817778525199,0.0,7876.246415825051,7722.406746401459
ND,182.7363360611364,161.37643449664483,182.7363360611364,0.0,8138.024201561566,7976.647767064921
OH,627.4486583338139,148.9781186581631,627.4486583338139,0.0,7744.695695550426,7595.7175768922625
OK,283.969031967571,161.90911252892965,283.969031967571,0.0,8120.661227511344,7958.752114982414
OR,124.5194502363496,36.64708245306247,124.5194502363496,0.0,7938.83909294854,7902.192010495478
PA,690.5169513106657,144.10408487808945,690.5169513106657,0.0,7710.360046100087,7566.2559612219975
RI,34.283277207929984,39.38630411706981,34.283277207929984,0.0,8019.739463432485,7980.353159315415
SC,224.1350104254293,156.0699457777746,224.1350104254293,0.0,8037.427379196845,7881.357433419071
SD,49.16092580759778,158.36398458219628,49.16092580759778,0.0,8050.122214082374,7891.758229500178
TN,299.81696199765247,158.32338335578424,299.81696199765247,0.0,8070.750262654264,7912.426879298479
TX,2145.9390969303367,131.84109861989782,2145.9390969303367,0.0,7582.586280974014,7450.745182354116
UT,200.84825609551467,158.56039231272553,200.84825609551467,0.0,8109.5901149275505,7951.029722614825
VT,18.11192003437813,38.358815527160914,18.11192003437813,0.0,7996.668829062426,7958.310013535265
VA,316.95860060161704,35.17275786756363,316.95860060161704,0.0,7755.697197548656,7720.524439681092
WA,238.68923188162603,37.981669250781124,238.68923188162603,0.0,7825.5962055974105,7787.614536346629
WV,285.90959482839753,160.00334653649406,285.90959482839753,0.0,8119.464944913278,7959.4615983767835
WI,299.17010771071,151.7302226885231,299.17010771071,0.0,7882.420985856527,7730.690763168004
WY,176.5912203351868,162.34686099266128,176.5912203351868,0.0,8140.88750760805,7978.540646615389
