stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,294.36652565438,141.43222989624974,294.36652565438,0.0,6525.241454113122,6383.809224216872
AK,218.73584984814147,144.0780163297777,218.73584984814147,0.0,6574.9376405241555,6430.859624194378
AZ,196.39827363978293,137.08458098064602,196.39827363978293,0.0,6470.3466899422365,6333.2621089615905
AR,199.3938026192825,140.26497230521818,199.3938026192825,0.0,6543.551545865848,6403.28657356063
CA,777.2160075252041,27.078912927784586,777.2160075252041,0.0,5753.973683987985,5726.894771060201
CO,244.90893142589061,27.24510937579089,244.90893142589061,0.0,6271.992756124821,6244.7476467490305
CT,152.35057129591655,31.817905637093645,152.35057129591655,0.0,6305.709776376305,6273.891870739211
DE,29.611824775261027,31.839101263626617,29.611824775261027,0.0,6426.299699432033,6394.460598168406
FL,607.424396438365,131.1393133838883,607.424396438365,0.0,6167.924752383597,6036.785438999708
GA,239.7508131622244,141.37808621464137,239.7508131622244,0.0,6462.746934273804,6321.368848059163
HI,35.358867906244086,28.52320869394771,35.358867906244086,0.0,6438.9108409762885,6410.387632282341
ID,99.76447536817977,139.43418732368445,99.76447536817977,0.0,6510.595339154144,6371.16115183046
IL,397.35387419997505,22.496745863440083,397.35387419997505,0.0,6164.41863777742,6141.92189191398
IN,396.9436944806421,131.604353939867,396.9436944806421,0.0,6397.368500490219,6265.764146550352
IA,226.50984170131824,134.1090624431008,226.50984170131824,0.0,6397.821676297254,6263.7126138541535
KS,164.98139451362294,136.3341353048545,164.98139451362294,0.0,6476.823570509341,6340.489435204487
KY,230.94703144673258,140.09756447587006,230.94703144673258,0.0,6528.322339398625,6388.224774922755
LA,603.2237035033759,136.41086456056564,603.2237035033759,0.0,6435.921209763776,6299.51034520321
ME,31.150556040081682,29.421796093568446,31.150556040081682,0.0,6423.852392317437,6394.430596223869
MD,105.77397869239303,28.878795651882683,105.77397869239303,0.0,6373.794571941894,6344.915776290011
MA,115.29102455993018,31.645065423414053,115.29102455993018,0.0,6354.432140374094,6322.78707495068
MI,409.76679563697553,131.58129596941308,409.76679563697553,0.0,6255.897855776595,6124.316559807182
MN,197.0098627422874,83.16659891674226,197.0098627422874,0.0,6304.475433620847,6221.308834704105
MS,213.46057009208243,141.96879023538168,213.46057009208243,0.0,6541.900592453954,6399.931802218573
MO,356.6294625513019,135.44745053248243,356.6294625513019,0.0,6390.180439525863,6254.732988993381
MT,68.26343828819324,138.4807850460911,68.26343828819324,0.0,6558.28523133506,6419.804446288969
NE,139.8479197390485,0.0,139.8479197390485,0.0,6398.8607662342565,6398.8607662342565
NV,120.86666235816631,26.677680472907923,120.86666235816631,0.0,6382.827954340948,6356.15027386804
NH,37.8295221863703,29.295340735181526,37.8295221863703,0.0,6432.6184702633855,6403.323129528204
NJ,162.53152510151654,29.103617645096165,162.53152510151654,0.0,6299.971849528961,6270.868231883865
NM,120.08479672022077,25.668792736375508,120.08479672022077,0.0,6378.405610847039,6352.736818110663
NY,373.8860555124229,30.9429203855143,373.8860555124229,0.0,6106.0886857845935,6075.145765399079
NC,286.3227493630302,135.70297005397333,286.3227493630302,0.0,6360.387930344273,6224.684960290299
ND,202.26118734919373,141.2797155616645,202.26118734919373,0.0,6555.110523461902,6413.830807900237
OH,515.6743791318477,130.78818635492553,515.6743791318477,0.0,6242.296060409043,6111.507874054118
OK,208.16990047735703,141.82688562597286,208.16990047735703,0.0,6547.520649617705,6405.693763991732
OR,134.09340131498482,28.480043046367427,134.09340131498482,0.0,6362.753838332706,6334.273795286339
PA,641.9788506906207,124.99611122463284,641.9788506906207,0.0,6168.249525528303,6043.25341430367
RI,48.92132536837846,30.878894611713804,48.92132536837846,0.0,6439.6392713085315,6408.760376696818
SC,193.42688768110543,136.542282628845,193.42688768110543,0.0,6475.253749136522,6338.711466507677
SD,54.01680847865157,138.28102367318297,54.01680847865157,0.0,6477.641198454157,6339.360174780974
TN,220.24874660690352,139.22180243735693,220.24874660690352,0.0,6515.452421596457,6376.2306191591
TX,2222.775360017449,110.31833313997595,2222.775360017449,0.0,5980.245485216066,5869.92715207609
UT,243.86446660558408,137.96464279866177,243.86446660558408,0.0,6522.777702334357,6384.813059535695
VT,15.11278735306459,30.05251178454091,15.11278735306459,0.0,6437.425318017492,6407.372806232951
VA,212.95650156541979,27.79150742441925,212.95650156541979,0.0,6284.1853695378095,6256.39386211339
WA,185.43429357703735,29.840002542820002,185.43429357703735,0.0,6306.549438254145,6276.709435711325
WV,227.0100961759913,140.4132656309812,227.0100961759913,0.0,6549.994522070607,6409.581256439626
WI,266.706057828088,132.6856608913431,266.706057828088,0.0,6338.061313734445,6205.375652843102
WY,118.91355083202438,142.49042034723425,118.91355083202438,0.0,6563.789277611626,6421.298857264392
