stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,350.59502352260506,153.55398009067176,350.59502352260506,0.0,8568.944372509726,8415.390392419054
AK,125.81315881023374,153.95874500540776,125.81315881023374,0.0,8634.507947908802,8480.549202903394
AZ,268.4445290809615,155.26417555484295,268.4445290809615,0.0,8512.192869265617,8356.928693710774
AR,200.52482895204344,157.12594948149672,200.52482895204344,0.0,8613.610338313902,8456.484388832405
CA,1047.9039448461626,31.63926999299838,1047.9039448461626,0.0,7538.492430995222,7506.853161002224
CO,276.2067805242664,31.89152364081565,276.2067805242664,0.0,8299.063137079223,8267.171613438408
CT,118.37433451039988,36.936512797898104,118.37433451039988,0.0,8429.957499512728,8393.02098671483
DE,42.04552865123492,36.556346052084336,42.04552865123492,0.0,8495.395296317978,8458.838950265894
FL,731.9156256749584,135.0494238921201,731.9156256749584,0.0,8107.524397467696,7972.474973575576
GA,401.3730850475581,147.002585530121,401.3730850475581,0.0,8442.222777681107,8295.220192150986
HI,55.95289582048957,35.563515078529235,55.95289582048957,0.0,8479.446919443084,8443.883404364555
ID,66.3025644115628,155.31767520813264,66.3025644115628,0.0,8591.241016791018,8435.923341582886
IL,595.7527982736519,26.25528061940986,595.7527982736519,0.0,8065.521173731322,8039.265893111912
IN,538.1827667358075,141.68350940932032,538.1827667358075,0.0,8402.499191957491,8260.815682548171
IA,236.42524187732874,147.41485152788664,236.42524187732874,0.0,8461.952760465507,8314.53790893762
KS,193.4094317956808,153.3997829171385,193.4094317956808,0.0,8548.055623197695,8394.655840280557
KY,359.974410683265,154.16853503972197,359.974410683265,0.0,8575.887051144235,8421.718516104513
LA,609.9835925863772,149.9440907567896,609.9835925863772,0.0,8500.253108253482,8350.309017496693
ME,46.573508659829486,35.68348642165802,46.573508659829486,0.0,8506.143805723996,8470.460319302338
MD,170.12267746576617,34.56226771574802,170.12267746576617,0.0,8398.711992521572,8364.149724805824
MA,181.44262748725237,36.1568567470913,181.44262748725237,0.0,8357.703012356995,8321.546155609904
MI,478.0253180501941,141.1416917112074,478.0253180501941,0.0,8266.66003651112,8125.518344799913
MN,269.09138336790375,90.76751171100477,269.09138336790375,0.0,8318.84597256179,8228.078460850786
MS,204.08252753022498,155.55290504884215,204.08252753022498,0.0,8643.09425287811,8487.541347829268
MO,378.4097578611145,146.14287526259068,378.4097578611145,0.0,8434.911076733673,8288.768201471083
MT,92.17673588924583,156.10386572866628,92.17673588924583,0.0,8618.290341155955,8462.186475427288
NE,152.65761171832992,0.0,152.65761171832992,0.0,8480.632912096848,8480.632912096848
NV,127.4302945275889,31.695957889294732,127.4302945275889,0.0,8440.69192727228,8408.995969382986
NH,43.015810081648056,35.35356691680499,43.015810081648056,0.0,8470.898688638152,8435.545121721347
NJ,288.1735848326948,34.79793105626959,288.1735848326948,0.0,8259.594112205163,8224.796181148893
NM,148.45305885320636,30.392843106810687,148.45305885320636,0.0,8456.38738170772,8425.99453860091
NY,504.546343814819,36.86507570358299,504.546343814819,0.0,8069.771024088377,8032.905948384794
NC,373.8817778525199,145.61808674866552,373.8817778525199,0.0,8345.450232666131,8199.832145917466
ND,182.7363360611364,152.64873140691452,182.7363360611364,0.0,8637.460443490785,8484.81171208387
OH,627.4486583338139,137.23299688034695,627.4486583338139,0.0,8223.750447447645,8086.517450567298
OK,283.969031967571,158.4622048438432,283.969031967571,0.0,8621.013192444434,8462.55098760059
OR,124.5194502363496,34.82776969065162,124.5194502363496,0.0,8415.955709635537,8381.127939944885
PA,690.5169513106657,140.5238282048913,690.5169513106657,0.0,8175.647481324955,8035.123653120064
RI,34.283277207929984,36.34370940976078,34.283277207929984,0.0,8495.576072277214,8459.232362867453
SC,224.1350104254293,147.64955552016545,224.1350104254293,0.0,8526.98189007291,8379.332334552744
SD,49.16092580759778,156.1516317196838,49.16092580759778,0.0,8554.245759321777,8398.094127602093
TN,299.81696199765247,154.43843915287107,299.81696199765247,0.0,8555.921134726113,8401.482695573242
TX,2145.9390969303367,123.30687608957851,2145.9390969303367,0.0,7969.046534358521,7845.739658268943
UT,200.84825609551467,154.3828732295242,200.84825609551467,0.0,8589.59998629868,8435.217113069155
VT,18.11192003437813,35.978080552353276,18.11192003437813,0.0,8514.85512663678,8478.877046084426
VA,316.95860060161704,34.20374218820507,316.95860060161704,0.0,8237.984540591377,8203.780798403172
WA,238.68923188162603,34.86176782712937,238.68923188162603,0.0,8306.799735852486,8271.937968025357
WV,285.90959482839753,153.31203705964435,285.90959482839753,0.0,8589.079072024373,8435.767034964729
WI,299.17010771071,147.64710016816025,299.17010771071,0.0,8361.828833009999,8214.181732841838
WY,176.5912203351868,156.9163638456139,176.5912203351868,0.0,8639.19174118559,8482.275377339976
