stateabbr,direct,indirect
AL,350.59502352260506,276.37078584509345
AK,125.81315881023374,248.93332505579747
AZ,268.4445290809615,307.99918348675874
AR,200.52482895204344,265.495266182219
CA,1047.9039448461626,184.5969567354423
CO,276.2067805242664,230.77518584466088
CT,118.37433451039988,235.18241762461093
DE,42.04552865123492,205.0008771494504
FL,731.9156256749584,264.5957001139441
GA,401.3730850475581,270.88301290394793
HI,55.95289582048957,251.05475201501122
ID,66.3025644115628,274.4163352098185
IL,595.7527982736519,220.55333015718043
IN,538.1827667358075,278.47169118248075
IA,236.42524187732874,265.04543201366687
KS,193.4094317956808,306.66953480876145
KY,359.974410683265,303.6157812349047
LA,609.9835925863772,265.56798549113955
ME,46.573508659829486,246.0218368179594
MD,170.12267746576617,234.1128765415624
MA,181.44262748725237,230.82791883203936
MI,478.0253180501941,275.60339944369025
MN,269.09138336790375,246.92345686541194
MS,204.08252753022498,272.71151690667284
MO,378.4097578611145,301.8249276324932
MT,92.17673588924583,307.0047614880941
NE,152.65761171832992,93.94644705100836
NV,127.4302945275889,226.7275979786673
NH,43.015810081648056,231.17844839862482
NJ,288.1735848326948,226.96967614639289
NM,148.45305885320636,203.753285830785
NY,504.546343814819,229.85055223948984
NC,373.8817778525199,301.53173143022286
ND,182.7363360611364,241.5920243252931
OH,627.4486583338139,276.8365543145446
OK,283.969031967571,298.7268332950316
OR,124.5194502363496,233.10033000787826
PA,690.5169513106657,249.43927850008095
RI,34.283277207929984,220.345700814888
SC,224.1350104254293,299.87543849452413
SD,49.16092580759778,319.4354864568395
TN,299.81696199765247,276.17600450103146
TX,2145.9390969303367,243.24304332932388
UT,200.84825609551467,289.51210974378137
VT,18.11192003437813,238.68669441693874
VA,316.95860060161704,201.55652664715217
WA,238.68923188162603,237.3516413924517
WV,285.90959482839753,287.08823088515237
WI,299.17010771071,271.44866156599437
WY,176.5912203351868,314.2632268400157
