stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,147.41941404376354,276.3762858450955,350.59502352260506,203.17560947884152,8095.278732623773,7818.902446778678
AK,125.81315881023374,248.94562505579688,125.81315881023374,0.0,8271.023681313316,8022.078056257519
AZ,156.57836324960596,308.0073834867617,268.4445290809615,111.86616583135554,8218.219273912926,7910.211890426164
AR,90.71904885402674,265.5044661822185,200.52482895204344,109.8057800980167,8177.776742341721,7912.272276159502
CA,549.3710697611275,184.61775673544253,1047.9039448461626,498.5328750850351,7708.162937907927,7523.545181172484
CO,157.42855474499805,230.79408584466455,276.2067805242664,118.77822577926831,8134.093916322914,7903.2998304782495
CT,68.05362773630051,235.20361762460925,118.37433451039988,50.320706774099364,8206.960967108029,7971.75734948342
DE,14.745404646289437,205.0183771494494,42.04552865123492,27.30012400494548,8199.796309402023,7994.777932252574
FL,342.1841419521706,264.602000113945,731.9156256749584,389.7314837227878,7896.948572648677,7632.346572534732
GA,208.13158403633886,270.89131290394744,401.3730850475581,193.24150101121924,8099.727868150248,7828.8365552463
HI,34.458889100268706,251.07975201501085,55.95289582048957,21.49400672022087,8251.66380155231,8000.584049537299
ID,29.022951198879234,274.4276352098195,66.3025644115628,37.279613212683564,8259.226078254655,7984.798443044835
IL,353.99024834474636,220.57643015718077,595.7527982736519,241.76254992890557,8000.891936485794,7780.315506328613
IN,269.8241465435401,278.4855911824834,538.1827667358075,268.3586201922674,8032.205027247734,7753.71943606525
IA,96.21732579443011,265.0562320136678,236.42524187732874,140.20791608289863,8146.926372188288,7881.87014017462
KS,109.21587334506438,306.67383480876197,193.4094317956808,84.19355845061642,8244.558332615665,7937.884497806903
KY,197.91894818898194,303.62548123490615,359.974410683265,162.05546249428303,8163.648074998142,7860.022593763236
LA,226.20596982600898,265.57548549114017,609.9835925863772,383.7776227603682,7903.875918988291,7638.300433497151
ME,28.51544556318436,246.04543681796076,46.573508659829486,18.058063096645125,8250.065429978835,8004.019993160874
MD,91.52267905332495,234.13577654156143,170.12267746576617,78.59999841244122,8177.613834386639,7943.478057845077
MA,86.06196234461821,230.8522188320394,181.44262748725237,95.38066514263416,8157.549609946925,7926.697391114885
MI,192.09729709800195,275.6174994436906,478.0253180501941,285.9280209521921,8011.767534749017,7736.150035305326
MN,118.95188513079222,246.93655686541115,269.09138336790375,150.13949823711152,8118.875114885819,7871.938558020408
MS,100.08503470544737,272.71711690667416,204.08252753022498,103.99749282477761,8190.797680339415,7918.080563432741
MO,222.86992305059644,301.8349276324934,378.4097578611145,155.53983481051804,8168.373149079494,7866.538221447001
MT,52.24529217033877,307.01576148809545,92.17673588924583,39.93144371890706,8289.162374026708,7982.146612538612
NE,95.55105073282562,93.95404705100918,152.65761171832992,57.1065609855043,8058.925542323023,7964.971495272014
NV,60.410682978910245,226.748097978666,127.4302945275889,67.01961154867865,8181.806542687507,7955.058444708841
NH,23.916286941531894,231.20504839862497,43.015810081648056,19.099523140116162,8234.183581516028,8002.9785331174035
NJ,175.47770635623414,226.99597614639333,288.1735848326948,112.69587847646066,8136.378153927451,7909.382177781058
NM,59.01476755039752,203.7702858307839,148.45305885320636,89.43829130280884,8136.410050785495,7932.639764954711
NY,298.9942636630482,229.8787522394905,504.546343814819,205.5520801517708,8046.40472834524,7816.52597610575
NC,203.3832248279932,301.53893143022106,373.8817778525199,170.49855302452673,8153.118434663214,7851.579503232993
ND,59.33976789469122,241.60272432529382,182.7363360611364,123.39656816644518,8140.284212416368,7898.681488091074
OH,319.34731320318394,276.84445431454515,627.4486583338139,308.10134513062997,7990.8211654414345,7713.976711126889
OK,157.85240144209706,298.74263329503174,283.969031967571,126.11663052547395,8194.704059027077,7895.961425732045
OR,71.94052457889947,233.12143000788092,124.5194502363496,52.578925657450135,8202.62056060795,7969.499130600068
PA,242.60467232149972,249.45147850008198,690.5169513106657,447.912278989166,7823.617255768436,7574.165777268354
RI,16.72713724818557,220.37060081488835,34.283277207929984,17.556139959744414,8224.892517112663,8004.521916297775
SC,119.15222818278471,299.88403849452516,224.1350104254293,104.98278224264459,8216.9793125094,7917.095274014875
SD,30.236432993305748,319.4519864568392,49.16092580759778,18.92449281429203,8322.605549900067,8003.1535634432275
TN,119.41975036677576,276.1864045010316,299.81696199765247,180.3972116308767,8117.867249127675,7841.680844626643
TX,964.412494808389,243.253443329324,2145.9390969303367,1181.5266021219477,7083.8048974648955,6840.5514541355715
UT,119.52007835979421,289.5269097437813,200.84825609551467,81.32817773572046,8230.27678826558,7940.7498785217995
VT,10.576421933890995,238.70889441693726,18.11192003437813,7.535498100487136,8253.25145257397,8014.5425581570325
VA,166.22634051550517,201.57752664715008,316.95860060161704,150.73226008611186,8072.9233228185585,7871.345796171408
WA,136.0030692541731,237.37084139245235,238.68923188162603,102.6861626274529,8156.762735022518,7919.391893630066
WV,130.8215708857532,287.097930885152,285.90959482839753,155.08802394264433,8154.087963200027,7866.990032314875
WI,111.01446632635574,271.4519615659947,299.17010771071,188.15564138435425,8105.37437643916,7833.9224148731655
WY,92.39924264601468,314.2796268400134,176.5912203351868,84.1919776891721,8252.16570540836,7937.886078568347
