stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,350.59502352260506,213.11600758503118,350.59502352260506,262.5401327939187,11124.084827490782,10910.968819905751
AK,125.81315881023374,148.70008860480812,125.81315881023374,0.0,11322.209041304477,11173.508952699669
AZ,268.4445290809615,231.8609549415014,268.4445290809615,173.64328307706208,11231.726624564108,10999.865669622606
AR,200.52482895204344,213.2248000727359,200.52482895204344,147.20982521913663,11239.523927553268,11026.299127480532
CA,1047.9039448461626,176.05266393588136,1047.9039448461626,719.9764279769329,10629.585188658617,10453.532524722736
CO,276.2067805242664,159.65078291746795,276.2067805242664,184.46273108516743,11148.697004531969,10989.0462216145
CT,118.37433451039988,204.90085512803853,118.37433451039988,76.75873955854645,11301.651068269162,11096.750213141124
DE,42.04552865123492,174.98448574197755,42.04552865123492,34.031094410523565,11314.46234403112,11139.477858289143
FL,731.9156256749584,229.67207988661175,731.9156256749584,530.6866981129909,10872.49433447329,10642.822254586677
GA,401.3730850475581,218.520267687898,401.3730850475581,281.7285178906336,11110.300702496934,10891.780434809036
HI,55.95289582048957,189.09428669908266,55.95289582048957,34.65302801744493,11327.950211381307,11138.855924682224
ID,66.3025644115628,212.26661989210515,66.3025644115628,49.7706107380564,11336.004961853718,11123.738341961613
IL,595.7527982736519,192.84908826102037,595.7527982736519,381.7277917492319,10984.630249211457,10791.781160950437
IN,538.1827667358075,229.32817646461262,538.1827667358075,380.00748732638544,11022.829641837896,10793.501465373283
IA,236.42524187732874,187.72962187862686,236.42524187732874,180.35298103840307,11180.885593539891,10993.155971661265
KS,193.4094317956808,225.21582780642166,193.4094317956808,127.45592494368022,11271.26885556241,11046.053027755988
KY,359.974410683265,221.63032547208422,359.974410683265,241.38539290828896,11153.753885263464,10932.12355979138
LA,609.9835925863772,217.55023683470608,609.9835925863772,472.6061769451402,10918.453012589232,10700.902775754526
ME,46.573508659829486,174.47680560483604,46.573508659829486,29.43931846900675,11318.5464398355,11144.069634230664
MD,170.12267746576617,185.58382285765765,170.12267746576617,116.50995642260509,11242.582819134721,11056.998996277063
MA,181.44262748725237,196.35563748640197,181.44262748725237,132.18829826238505,11237.676291923686,11041.320654437284
MI,478.0253180501941,202.08336283538665,478.0253180501941,368.00733855834847,11007.584976976706,10805.50161414132
MN,269.09138336790375,188.08498065214553,269.09138336790375,201.16483603599565,11160.42909731582,10972.344116663675
MS,204.08252753022498,201.77497172412768,204.08252753022498,145.9739502378531,11229.309974185944,11027.535002461816
MO,378.4097578611145,216.91013826966264,378.4097578611145,241.83552740855592,11148.583563560775,10931.673425291112
MT,92.17673588924583,240.6309814240485,92.17673588924583,60.651257355919526,11353.488676767798,11112.85769534375
NE,152.65761171832992,111.7219505689427,152.65761171832992,86.13678325567848,11199.094120012931,11087.372169443988
NV,127.4302945275889,188.8534384658651,127.4302945275889,91.71917844686575,11270.643212718667,11081.789774252802
NH,43.015810081648056,197.00313785731305,43.015810081648056,28.63158778851175,11341.88050276847,11144.877364911157
NJ,288.1735848326948,204.0747544808528,288.1735848326948,182.21480366772087,11195.368903512799,10991.294149031946
NM,148.45305885320636,178.9254479759784,148.45305885320636,115.61088958899529,11236.823511086652,11057.898063110673
NY,504.546343814819,186.232609191984,504.546343814819,324.53583283035687,11035.205729061297,10848.973119869313
NC,373.8817778525199,244.34648386110712,373.8817778525199,252.46267024661103,11165.392766314166,10921.046282453059
ND,182.7363360611364,199.2518770126826,182.7363360611364,151.27973378494193,11221.481095927411,11022.229218914728
OH,627.4486583338139,219.35420177393098,627.4486583338139,437.1036813855537,10955.759473088048,10736.405271314117
OK,283.969031967571,249.190952283534,283.969031967571,189.3733666028489,11233.326538380354,10984.13558609682
OR,124.5194502363496,202.5164217369711,124.5194502363496,81.44489236679787,11294.580482069841,11092.06406033287
PA,690.5169513106657,190.56676349163354,690.5169513106657,551.4943591415398,10812.581357049763,10622.01459355813
RI,34.283277207929984,200.5920432919993,34.283277207929984,24.278077382387135,11349.822918609281,11149.230875317282
SC,224.1350104254293,253.70487134890936,224.1350104254293,153.77110096873284,11273.442723079846,11019.737851730937
SD,49.16092580759778,249.73675136775455,49.16092580759778,30.374521097935684,11392.871182969488,11143.134431601733
TN,299.81696199765247,199.1007705880802,299.81696199765247,232.44860200263918,11140.16112128511,10941.06035069703
TX,2145.9390969303367,203.58314817076825,2145.9390969303367,1588.6779459978716,9788.414154872566,9584.831006701797
UT,200.84825609551467,227.5221616087456,200.84825609551467,128.0181823076362,11273.01293200078,11045.490770392034
VT,18.11192003437813,208.66468948144757,18.11192003437813,11.681040416271358,11370.492601764845,11161.827912283397
VA,316.95860060161704,191.39560130474274,316.95860060161704,217.82317885476914,11147.081375149643,10955.6857738449
WA,238.68923188162603,158.20856046813242,238.68923188162603,157.79753161196442,11173.919981555835,11015.711421087703
WV,285.90959482839753,223.178360928634,285.90959482839753,210.73358995661698,11185.953723671686,10962.775362743052
WI,299.17010771071,206.25056595733622,299.17010771071,228.51520601225772,11151.244312644747,10944.99374668741
WY,176.5912203351868,212.62802376057334,176.5912203351868,122.61487044195101,11263.52210601829,11050.894082257717
