stateabbr,direct,indirect
AL,294.36652565438,295.23772719757835
AK,218.73584984814147,217.48396605385278
AZ,196.39827363978293,322.85007741288337
AR,199.3938026192825,283.9999266740524
CA,777.2160075252041,202.93273807874903
CO,244.90893142589061,235.4858597090215
CT,152.35057129591655,236.66556470639534
DE,29.611824775261027,216.55262116432368
FL,607.424396438365,286.39514331728424
GA,239.7508131622244,293.7611501623978
HI,35.358867906244086,252.93186119045913
ID,99.76447536817977,290.64622727776623
IL,397.35387419997505,229.4339545196708
IN,396.9436944806421,299.41526793942194
IA,226.50984170131824,283.4396085507142
KS,164.98139451362294,321.8609011122917
KY,230.94703144673258,320.106314055226
LA,603.2237035033759,282.96007517194084
ME,31.150556040081682,248.4032324431555
MD,105.77397869239303,238.9003377167628
MA,115.29102455993018,240.02883077145634
MI,409.76679563697553,296.4056158384974
MN,197.0098627422874,263.3251628908165
MS,213.46057009208243,290.326505150093
MO,356.6294625513019,315.69307891882454
MT,68.26343828819324,322.18901640144304
NE,139.8479197390485,132.09452419334502
NV,120.86666235816631,234.20939337845812
NH,37.8295221863703,237.66505431157566
NJ,162.53152510151654,235.92588822558264
NM,120.08479672022077,217.75556887274797
NY,373.8860555124229,236.28546284306685
NC,286.3227493630302,316.42385424606346
ND,202.26118734919373,263.9686089837678
OH,515.6743791318477,297.71327672313055
OK,208.16990047735703,315.19174132394073
OR,134.09340131498482,236.9190128499522
PA,641.9788506906207,272.58424622003804
RI,48.92132536837846,228.00683102011772
SC,193.42688768110543,314.0095136944865
SD,54.01680847865157,330.158858470405
TN,220.24874660690352,296.0599995139255
TX,2222.775360017449,257.6031335084499
UT,243.86446660558408,303.0511084425725
VT,15.11278735306459,241.7817410959251
VA,212.95650156541979,213.74540311415694
WA,185.43429357703735,242.70863179175376
WV,227.0100961759913,305.5286273717238
WI,266.706057828088,292.00360290243225
WY,118.91355083202438,328.20629019571516
