stateabbr,direct,indirect,direct_treatment,direct_control,indirect_treatment,indirect_control
AL,294.36652565438,211.26075055365618,294.36652565438,202.19061782722594,8474.702358350354,8263.441607796698
AK,218.73584984814147,85.38591994349008,218.73584984814147,0.0,8551.018145567416,8465.632225623925
AZ,196.39827363978293,217.70306133254053,196.39827363978293,101.72347362037159,8581.611813336092,8363.908752003552
AR,199.3938026192825,178.56213738103907,199.3938026192825,133.59662959901186,8510.597733405952,8332.035596024913
CA,777.2160075252041,177.49629155074126,777.2160075252041,458.3500004508761,8184.778516723789,8007.282225173048
CO,244.90893142589061,162.77782905633467,244.90893142589061,138.72266966286713,8489.687385017392,8326.909555961058
CT,152.35057129591655,175.80921520807897,152.35057129591655,86.50299759680443,8554.938443235198,8379.12922802712
DE,29.611824775261027,164.40448892745007,29.611824775261027,22.80215010686884,8607.234564444503,8442.830075517053
FL,607.424396438365,220.26223316337837,607.424396438365,394.1506999512448,8291.743758836057,8071.481525672679
GA,239.7508131622244,208.86512157242396,239.7508131622244,139.79184960298608,8534.705497593362,8325.840376020938
HI,35.358867906244086,176.12588197100922,35.358867906244086,16.87490456444211,8624.883203030491,8448.757321059482
ID,99.76447536817977,185.27229314562464,99.76447536817977,71.4367368977946,8579.467781871754,8394.195488726129
IL,397.35387419997505,178.98625826689386,397.35387419997505,204.83178608484533,8439.786697805972,8260.800439539078
IN,396.9436944806421,212.5064166647262,396.9436944806421,241.93981510238422,8436.198827186265,8223.692410521538
IA,226.50984170131824,177.50390329946276,226.50984170131824,161.72767267772525,8481.408456245661,8303.904552946198
KS,164.98139451362294,203.8054760797113,164.98139451362294,89.98708440335355,8579.450617300281,8375.64514122057
KY,230.94703144673258,201.65253217862482,230.94703144673258,125.97662968734925,8541.308128115199,8339.655595936574
LA,603.2237035033759,210.97155951932746,603.2237035033759,448.366045116569,8228.237740026681,8017.266180507354
ME,31.150556040081682,156.88115170361016,31.150556040081682,15.450961481802217,8607.062415845732,8450.181264142122
MD,105.77397869239303,174.8116488549731,105.77397869239303,60.18772982090179,8580.256144657995,8405.444495803022
MA,115.29102455993018,192.29040591629382,115.29102455993018,74.12569779688617,8583.796933743331,8391.506527827038
MI,409.76679563697553,195.59469903546506,409.76679563697553,293.49889650526086,8367.728028154128,8172.133329118663
MN,197.0098627422874,172.51275360462387,197.0098627422874,133.1498412167798,8504.995138011767,8332.482384407143
MS,213.46057009208243,199.41930014372883,213.46057009208243,137.22515726258123,8527.826368505072,8328.407068361343
MO,356.6294625513019,192.86923285945522,356.6294625513019,185.7754651668021,8472.725993316577,8279.856760457122
MT,68.26343828819324,212.13856990904605,68.26343828819324,36.48732831563329,8641.283467217336,8429.14489730829
NE,139.8479197390485,143.3989318414242,139.8479197390485,78.2509600924198,8530.780197372927,8387.381265531503
NV,120.86666235816631,149.51572557635336,120.86666235816631,79.07126722659545,8536.07668397368,8386.560958397327
NH,37.8295221863703,174.069369837669,37.8295221863703,21.353446901367324,8618.348148560226,8444.278778722557
NJ,162.53152510151654,172.5146631041971,162.53152510151654,79.17886992718192,8558.968018800939,8386.453355696742
NM,120.08479672022077,178.86000551297366,120.08479672022077,87.89485619265993,8556.597374944236,8377.737369431263
NY,373.8860555124229,177.35294015082945,373.8860555124229,195.828780250606,8447.156385524147,8269.803445373318
NC,286.3227493630302,219.58075096873654,286.3227493630302,162.3551155882858,8522.857861004375,8303.277110035639
ND,202.26118734919373,190.58909452512853,202.26118734919373,165.6072669917701,8490.614053157282,8300.024958632153
OH,515.6743791318477,206.63086461542844,515.6743791318477,310.6716289217342,8361.59146131762,8154.960596702191
OK,208.16990047735703,220.5230368232369,208.16990047735703,114.15541816684217,8571.999844280319,8351.476807457082
OR,134.09340131498482,179.26718748195162,134.09340131498482,75.27602540064765,8569.62338770523,8390.356200223277
PA,641.9788506906207,167.45195105688254,641.9788506906207,490.7143469391332,8142.369829741673,7974.917878684791
RI,48.92132536837846,195.82881733557952,48.92132536837846,32.42955657618447,8629.03148638332,8433.20266904774
SC,193.42688768110543,222.94518948752557,193.42688768110543,112.81088466382919,8575.76653044762,8352.821340960094
SD,54.01680847865157,226.5450691885162,54.01680847865157,26.88419581813773,8665.293098994302,8438.748029805785
TN,220.24874660690352,201.7654792783669,220.24874660690352,158.20803449909604,8509.189670403195,8307.424191124828
TX,2222.775360017449,190.27240081388845,2222.775360017449,1518.933867774247,7136.970758663565,6946.6983578496765
UT,243.86446660558408,202.0903621154157,243.86446660558408,130.40787715655136,8537.314710582788,8335.224348467373
VT,15.11278735306459,169.8414382697465,15.11278735306459,7.998473633448308,8627.475190260222,8457.633751990476
VA,212.95650156541979,170.7002003812504,212.95650156541979,124.44209805190847,8511.890327953266,8341.190127572016
WA,185.43429357703735,156.41861079042246,185.43429357703735,102.53346195767764,8519.51737445667,8363.098763666247
WV,227.0100961759913,190.78428272208475,227.0100961759913,150.3732311578559,8506.043277188153,8315.258994466069
WI,266.706057828088,202.20655789289412,266.706057828088,196.14736110722146,8471.691422409596,8269.484864516702
WY,118.91355083202438,200.27655630225308,118.91355083202438,69.23236010915501,8596.676421817021,8396.399865514768
