stateabbr,capacity_direct,capacity_indirect,emissions_direct,emissions_indirect
AL,1513.6167777950568,2818.748217304994,45036153.60651414,86697614.14980412
AK,27.201324800000005,2990.6835968003725,201492.45338976008,91990132.73678541
AZ,5546.443301095324,3025.525292830076,182550088.36895037,92390964.31262827
AR,1738.284316716137,2464.0004101017257,54684773.2337888,75095292.84140491
CA,31758.783079438468,2050.4518264115322,413994792.71032816,49186326.602826595
CO,4245.692525657241,3088.608764653094,110168715.64813808,64077473.882844925
CT,1305.5888878960702,3029.491864604206,11726211.876082946,63905263.11060715
DE,332.27687032355743,2491.9059237878537,1411213.0959511811,53692570.441970825
FL,28806.95277925198,2282.6365894838527,767909820.9317979,70105014.89266586
GA,14214.160041290339,2490.7993057067506,381997733.3216553,78416195.7310276
HI,1188.5287756686944,3369.1078996669676,29608094.02150946,71584073.81039381
ID,611.3221864993127,2734.361380782677,5351147.627303084,83427412.96938515
IL,4867.649928967732,2946.561767911975,118080182.12438866,59167938.638833046
IN,2453.2168877861036,2879.80978328918,59338287.420925885,87238500.5446763
IA,1490.0679544002433,2645.6783717151266,30948338.895904455,81411595.55832481
KS,312.03765760396254,3175.5588662839727,8964217.827646637,98018020.73064995
KY,460.39081996278827,3177.844858482189,3745946.8870862285,94955764.42729712
LA,855.1314598109309,2683.603270167194,18971861.054219335,82026763.01734495
ME,1558.8053602576497,3199.4173583070515,13444930.053026266,69078776.75127697
MD,1987.9260111642034,2890.4796389217954,38376911.64552496,60388726.71456289
MA,3091.573252334645,2923.0235221030016,27954932.819585558,66785775.36626387
MI,3544.9815929831093,2757.7074368410977,60544208.87931956,87106004.25832081
MN,3227.7009264925655,2731.1374635507236,74947215.51315738,73716666.87764835
MS,1015.2563933781406,2717.24880401275,22583312.451483697,84093261.18298578
MO,401.46415510486713,3197.7740253437078,9460201.716929864,96106366.17285061
MT,47.60370993102642,3123.014155830897,1262807.4151953026,95754002.87487698
NE,200.3952661544687,633.099943952373,5011635.112440568,15405231.774599075
NV,5329.185883549304,2949.1905709187267,195975481.68164212,61911987.529948235
NH,47.77693439999453,2982.484000782977,1122151.1913329915,64262740.62864685
NJ,2438.273599191227,3082.0615212356206,20605850.18676507,65066059.58018923
NM,1301.3239770171426,2586.5235559603025,42347359.52909762,57842243.400772095
NY,6668.3467014694415,3019.222778149764,51294923.331713386,65897169.34097576
NC,13253.065877370187,2976.0436829387036,346328454.85414386,88779450.85852289
ND,73.94549760000001,2335.2272104005388,1961589.1875840002,73409889.60692787
OH,2402.3296203838345,2875.828639074898,64593718.71639949,90014137.61668491
OK,374.9941968976796,3033.0589410302055,9011616.793617047,94055887.5721674
OR,3115.1438270254303,3013.2313106229412,37870024.7191914,63584526.55079079
PA,1006.8074025748921,2474.2541537460056,18902255.239272185,77506143.90607166
RI,1257.1072731561158,2859.3952338022646,10450709.893928733,61871857.1945734
SC,5772.18982499638,2928.5960657351243,146872215.65906787,89214653.38870955
SD,48.26718545529257,3244.129219620925,1360425.1022130577,96553526.28577995
TN,1580.2962939645402,2718.737871691643,41569298.938663736,85150213.96094036
TX,52691.71606359834,2059.913759458126,1465285489.9119842,59747800.79846835
UT,3355.7667920692857,2825.8826649175608,118113594.93382105,83071432.21131086
VT,286.4395084427175,3050.606700948032,0.0,62732208.9431591
VA,12830.588602098494,2392.527341063891,293630586.2767444,47226754.80012655
WA,1213.936368743147,3181.506310536206,7536906.035797142,68948972.4120245
WV,117.5571072,2872.1807679275225,2690317.90969344,90296176.23664951
WI,4068.494215696571,2746.34058685301,60027173.93251957,86187644.72441149
WY,563.6988031999861,3372.001597459748,16060765.376073204,102228363.28514433
